name,value
g_1s1,0.0
w_1s1,10.0
theta_1s1,0.0
g_1s2,0.0
w_1s2,10.000000000000004
theta_1s2,4.999999999999993
g_1s3,0.0
w_1s3,10.0
theta_1s3,30.000000000000007
c_1,0.0
Z_1,-0.0
g_Gs1,30.0
theta_Gs1,26.66666666666665
g_Gs2,30.0
theta_Gs2,19.999999999999996
g_Gs3,30.0
theta_Gs3,60.00000000000001
c_G,0.0
Z_G,1.0
g_3s1,0.0
w_3s1,10.0
theta_3s1,13.33333333333333
g_3s2,0.0
w_3s2,10.0
theta_3s2,5.0
g_3s3,0.0
w_3s3,10.0
theta_3s3,0.0
c_3,0.0
Z_3,-0.0
g_2s1,0.0
w_2s1,10.0
theta_2s1,9.999999999999993
g_2s2,0.0
w_2s2,10.0
theta_2s2,0.0
g_2s3,0.0
w_2s3,10.0
theta_2s3,10.0
c_2,0.0
Z_2,-0.0
f_1_2s1,-10.0
F_1_2s1,-0.0
f_1_2s2,5.0
F_1_2s2,-0.0
f_1_2s3,20.0
F_1_2s3,-0.0
c_1_2,0.0
X_1_2,1.0
f_3_Gs1,-13.333333333333327
F_3_Gs1,-0.0
f_3_Gs2,-14.999999999999996
F_3_Gs2,-0.0
f_3_Gs3,0.0
F_3_Gs3,1.0
c_3_G,0.0
f_2_Gs1,-16.666666666666675
F_2_Gs1,-0.0
f_2_Gs2,0.0
F_2_Gs2,1.0
f_2_Gs3,0.0
F_2_Gs3,1.0
c_2_G,0.0
f_2_3s1,-3.3333333333333304
F_2_3s1,-0.0
f_2_3s2,-5.0
F_2_3s2,-0.0
f_2_3s3,10.0
F_2_3s3,-0.0
c_2_3,0.0
X_2_3,1.0
f_1_Gs1,0.0
F_1_Gs1,1.0
f_1_Gs2,-15.000000000000004
F_1_Gs2,-0.0
f_1_Gs3,-30.0
F_1_Gs3,-0.0
c_1_G,0.0
