scenario,type,value
28,1depth,4242.0
43,1depth,4242.0
23,1depth,4227.392178771954
24,1depth,4232.660335195531
25,1depth,4238.290502793299
26,1depth,4229.230167597765
27,1depth,4233.6603351955355
20,1depth,4242.0
21,1depth,4197.000000000005
48,1depth,4115.750837988833
49,1depth,4242.0
46,1depth,4241.090502793298
47,1depth,4225.101675977662
44,1depth,4174.0
45,1depth,4224.0
42,1depth,4242.0
29,1depth,4242.0
40,1depth,4230.293854748636
41,1depth,4242.0
1,1depth,4242.0
0,1depth,4242.0
3,1depth,4205.660335195531
2,1depth,4222.411173185372
5,1depth,4190.720670391063
4,1depth,4242.0
7,1depth,4234.841340784132
6,1depth,4229.0
9,1depth,4242.0
8,1depth,4241.690502793297
39,1depth,4242.000000000002
12,1depth,4197.000000000005
14,1depth,4223.9810055876
11,1depth,4242.0
10,1depth,4222.0
13,1depth,4242.0
38,1depth,4242.0
15,1depth,4232.260335195533
22,1depth,4242.0
17,1depth,4234.9206703920645
16,1depth,4242.0
19,1depth,4212.690502793302
32,1depth,4238.520670391063
31,1depth,4242.0
30,1depth,4125.920670391062
37,1depth,4242.0
36,1depth,4183.690502793297
35,1depth,4198.690502793303
34,1depth,4223.950837988834
33,1depth,4242.0
18,1depth,4230.690502793298
28,fullcascade,4203.0
43,fullcascade,3057.9999999999995
23,fullcascade,2227.9999999999995
24,fullcascade,4203.0
25,fullcascade,3029.9999999999995
26,fullcascade,4242.0
27,fullcascade,4203.0
20,fullcascade,4203.0
21,fullcascade,1520.0
48,fullcascade,4203.0
49,fullcascade,2767.9999999999995
46,fullcascade,1800.9999999999995
47,fullcascade,4046.9999999999995
44,fullcascade,3758.0
45,fullcascade,4203.0
42,fullcascade,4242.0
29,fullcascade,4203.0
40,fullcascade,2979.0
41,fullcascade,4203.0
1,fullcascade,4203.0
0,fullcascade,2148.0000000000005
3,fullcascade,4172.0
2,fullcascade,4133.0
5,fullcascade,2138.0000000000005
4,fullcascade,4242.0
7,fullcascade,4242.0
6,fullcascade,4203.0
9,fullcascade,4203.0
8,fullcascade,2622.0000000000005
39,fullcascade,2594.0000000000005
12,fullcascade,2606.000000000001
14,fullcascade,4203.0
11,fullcascade,4242.0
10,fullcascade,3377.0
13,fullcascade,4242.0
38,fullcascade,4203.0
15,fullcascade,4203.0
22,fullcascade,3757.999999999999
17,fullcascade,3580.0000000000005
16,fullcascade,4203.0
19,fullcascade,4203.0
32,fullcascade,4133.0
31,fullcascade,4133.0
30,fullcascade,4012.0
37,fullcascade,4203.0
36,fullcascade,4203.0
35,fullcascade,2863.0
34,fullcascade,4203.0
33,fullcascade,4203.0
18,fullcascade,4114.0
