name,value
g_25.0s36,0.0
w_25.0s36,6.3
theta_25.0s36,9819.527815754549
g_25.0s7,0.0
w_25.0s7,0.0
theta_25.0s7,8003.0015105988805
g_25.0s13,0.0
w_25.0s13,6.3
theta_25.0s13,-9984.943691383869
g_25.0s38,0.0
w_25.0s38,6.3
theta_25.0s38,9800.268118188465
g_25.0s35,0.0
w_25.0s35,6.3
theta_25.0s35,-8992.285135965061
g_25.0s16,0.0
w_25.0s16,0.0
theta_25.0s16,-8037.574167029743
g_25.0s47,0.0
w_25.0s47,6.3
theta_25.0s47,9819.405593423453
g_25.0s5,0.0
w_25.0s5,6.3
theta_25.0s5,9814.52798919475
g_25.0s29,0.0
w_25.0s29,6.3
theta_25.0s29,8000.220035056216
g_25.0s19,0.0
w_25.0s19,6.3
theta_25.0s19,-9987.044292870061
g_25.0s44,0.0
w_25.0s44,6.3
theta_25.0s44,9814.645665044456
g_25.0s27,0.0
w_25.0s27,6.3
theta_25.0s27,-9985.767814068391
g_25.0s32,0.0
w_25.0s32,6.3
theta_25.0s32,9758.292479581487
g_25.0s3,0.0
w_25.0s3,6.3
theta_25.0s3,-9973.496424009702
g_25.0s41,0.0
w_25.0s41,6.3
theta_25.0s41,9815.443361754082
g_25.0s20,0.0
w_25.0s20,6.3
theta_25.0s20,-9986.834284571358
g_25.0s31,0.0
w_25.0s31,6.3
theta_25.0s31,-9985.553844239452
g_25.0s12,0.0
w_25.0s12,6.3
theta_25.0s12,-9988.735047252585
g_25.0s1,0.0
w_25.0s1,6.3
theta_25.0s1,9813.724547910639
g_25.0s34,0.0
w_25.0s34,6.3
theta_25.0s34,9806.043336516466
g_25.0s15,0.0
w_25.0s15,6.3
theta_25.0s15,-9959.748544919752
g_25.0s48,0.0
w_25.0s48,6.3
theta_25.0s48,9749.612361881927
g_25.0s8,0.0
w_25.0s8,6.3
theta_25.0s8,-9986.73673183192
g_25.0s18,0.0
w_25.0s18,6.3
theta_25.0s18,9818.373994999263
g_25.0s45,0.0
w_25.0s45,0.0
theta_25.0s45,-9987.417917870327
g_25.0s24,0.0
w_25.0s24,6.3
theta_25.0s24,-9987.895220277202
g_25.0s6,0.0
w_25.0s6,6.3
theta_25.0s6,9813.38748434162
g_25.0s42,0.0
w_25.0s42,6.3
theta_25.0s42,-9989.712048752688
g_25.0s21,0.0
w_25.0s21,6.3
theta_25.0s21,-9971.462408532117
g_25.0s30,0.0
w_25.0s30,6.3
theta_25.0s30,-9992.61437398587
g_25.0s11,0.0
w_25.0s11,6.3
theta_25.0s11,9806.097827917372
g_25.0s22,0.0
w_25.0s22,6.3
theta_25.0s22,9803.871604948496
g_25.0s4,0.0
w_25.0s4,6.3
theta_25.0s4,9815.297258710907
g_25.0s37,0.0
w_25.0s37,6.3
theta_25.0s37,-9968.112318233703
g_25.0s14,0.0
w_25.0s14,6.3
theta_25.0s14,-9984.389165370147
g_25.0s49,0.0
w_25.0s49,6.3
theta_25.0s49,-9970.305311347161
g_25.0s39,0.0
w_25.0s39,6.3
theta_25.0s39,-9988.01534468387
g_25.0s17,0.0
w_25.0s17,6.3
theta_25.0s17,-9984.964369475238
g_25.0s2,0.0
w_25.0s2,6.3
theta_25.0s2,9826.876321719337
g_25.0s46,0.0
w_25.0s46,6.3
theta_25.0s46,-9990.195999730951
g_25.0s25,0.0
w_25.0s25,6.3
theta_25.0s25,-9983.845683527976
g_25.0s28,0.0
w_25.0s28,6.3
theta_25.0s28,-9986.99266373662
g_25.0s43,0.0
w_25.0s43,0.0
theta_25.0s43,-9988.146488931641
g_25.0s26,0.0
w_25.0s26,6.3
theta_25.0s26,-9990.868176645117
g_25.0s9,0.0
w_25.0s9,6.3
theta_25.0s9,9816.636617264445
g_25.0s0,0.0
w_25.0s0,6.3
theta_25.0s0,-9986.562028719794
g_25.0s33,0.0
w_25.0s33,6.3
theta_25.0s33,-9913.922854964521
g_25.0s10,0.0
w_25.0s10,6.3
theta_25.0s10,9797.793492049623
g_25.0s40,0.0
w_25.0s40,6.3
theta_25.0s40,9774.562130670805
g_25.0s23,0.0
w_25.0s23,6.3
theta_25.0s23,-9971.66022611862
c_25.0,0.0
Z_25.0,0.0
g_16.0s36,0.0
w_16.0s36,43.0
theta_16.0s36,9823.73949627212
g_16.0s7,0.0
w_16.0s7,-5.684341886080801e-13
theta_16.0s7,8046.216400613152
g_16.0s13,0.0
w_16.0s13,43.0
theta_16.0s13,-9981.928431370394
g_16.0s38,0.0
w_16.0s38,43.0
theta_16.0s38,9796.529696793026
g_16.0s35,0.0
w_16.0s35,0.0
theta_16.0s35,-9000.000000000004
g_16.0s16,0.0
w_16.0s16,43.0
theta_16.0s16,-8052.878339864504
g_16.0s47,0.0
w_16.0s47,43.00000000000023
theta_16.0s47,9817.08784027019
g_16.0s5,0.0
w_16.0s5,43.0
theta_16.0s5,9813.844375634122
g_16.0s29,0.0
w_16.0s29,-5.684341886080801e-13
theta_16.0s29,8059.2878122239645
g_16.0s19,0.0
w_16.0s19,43.0
theta_16.0s19,-9987.424148921526
g_16.0s44,0.0
w_16.0s44,43.0
theta_16.0s44,9818.586043859985
g_16.0s27,0.0
w_16.0s27,43.0
theta_16.0s27,-9983.570316714808
g_16.0s32,0.0
w_16.0s32,43.0
theta_16.0s32,9785.399891122903
g_16.0s3,0.0
w_16.0s3,43.0
theta_16.0s3,-9978.33042944385
g_16.0s41,0.0
w_16.0s41,43.0
theta_16.0s41,9818.086569767089
g_16.0s20,0.0
w_16.0s20,0.0
theta_16.0s20,-9000.000000000004
g_16.0s31,0.0
w_16.0s31,0.0
theta_16.0s31,-9000.000000000004
g_16.0s12,0.0
w_16.0s12,43.0
theta_16.0s12,-9991.982636669294
g_16.0s1,0.0
w_16.0s1,43.0
theta_16.0s1,9818.994459009331
