scenario,type,value
28,1depth,1109.303846153846
43,1depth,1077.7038461538464
23,1depth,1066.0000000000005
24,1depth,1122.003846153846
25,1depth,1121.0038461538466
26,1depth,1185.4012820512817
27,1depth,1073.5012820512823
20,1depth,1065.1051282051283
21,1depth,1189.0025641025643
48,1depth,1111.903846153846
49,1depth,1069.6038461538487
46,1depth,1077.3025641025672
47,1depth,1192.0012820512816
44,1depth,1172.1012820512822
45,1depth,940.7025641035647
42,1depth,1168.202564102564
29,1depth,1145.0025641025643
40,1depth,1156.6012820512844
41,1depth,1132.7038461538464
1,1depth,1145.401282051282
0,1depth,1169.5038461538488
3,1depth,1087.201282051282
2,1depth,1147.9012820512821
5,1depth,1144.502564102567
4,1depth,1135.403846153846
7,1depth,1161.401282051282
6,1depth,1091.403846153846
9,1depth,1186.1051282051305
8,1depth,1157.405128205131
39,1depth,1167.7012820512816
12,1depth,1183.2025641025666
14,1depth,1222.0051282051306
11,1depth,1128.2025641025643
10,1depth,1142.0012820512823
13,1depth,1136.402564102564
38,1depth,1148.1051282051283
15,1depth,1122.802564102564
22,1depth,1126.2051282051286
17,1depth,1172.0012820512818
16,1depth,1025.8038461538463
19,1depth,1179.9025641025667
32,1depth,1149.401282051282
31,1depth,1087.8025641025652
30,1depth,1148.802564102564
37,1depth,1161.505128205133
36,1depth,1159.4025641025664
35,1depth,1059.9038461538498
34,1depth,1110.5012820512845
33,1depth,1180.0025641025668
18,1depth,1128.202564102564
28,fullcascade,960.0
43,fullcascade,852.9999999999999
23,fullcascade,871.3000000000001
24,fullcascade,874.4
25,fullcascade,960.0
26,fullcascade,871.5999999999999
27,fullcascade,959.9999999999998
20,fullcascade,1192.7999999999997
21,fullcascade,825.0000000000001
48,fullcascade,898.0
49,fullcascade,841.4999999999998
46,fullcascade,959.9999999999999
47,fullcascade,982.9999999999999
44,fullcascade,959.9999999999999
45,fullcascade,960.0
42,fullcascade,960.0000000000001
29,fullcascade,960.0
40,fullcascade,876.1999999999999
41,fullcascade,816.1999999999999
1,fullcascade,1005.9999999999999
0,fullcascade,1006.0000000000001
3,fullcascade,1250.7999999999997
2,fullcascade,960.0000000000002
5,fullcascade,960.0000000000001
4,fullcascade,960.0000000000001
7,fullcascade,959.9999999999998
6,fullcascade,960.0
9,fullcascade,959.9999999999998
8,fullcascade,869.9999999999998
39,fullcascade,960.0
12,fullcascade,874.9999999999997
14,fullcascade,983.0000000000001
11,fullcascade,983.0000000000001
10,fullcascade,892.9999999999998
13,fullcascade,983.0000000000001
38,fullcascade,877.4000000000001
15,fullcascade,812.4
22,fullcascade,983.0
17,fullcascade,874.9999999999999
16,fullcascade,831.3999999999999
19,fullcascade,960.0
32,fullcascade,867.0
31,fullcascade,1192.7999999999997
30,fullcascade,870.0000000000001
37,fullcascade,838.1999999999997
36,fullcascade,983.0000000000001
35,fullcascade,982.9999999999998
34,fullcascade,960.0000000000001
33,fullcascade,867.4999999999999
18,fullcascade,959.9999999999999
