name,value
g_21.0s36,0.0
w_21.0s36,14.0
theta_21.0s36,-9982.0
g_21.0s7,0.0
w_21.0s7,14.0
theta_21.0s7,-9982.0
g_21.0s13,0.0
w_21.0s13,14.0
theta_21.0s13,-9982.0
g_21.0s38,0.0
w_21.0s38,14.0
theta_21.0s38,-9982.0
g_21.0s35,0.0
w_21.0s35,14.000000000000227
theta_21.0s35,-10000.0
g_21.0s16,0.0
w_21.0s16,14.0
theta_21.0s16,-9982.0
g_21.0s47,0.0
w_21.0s47,14.000000000000227
theta_21.0s47,-9965.999999999993
g_21.0s5,0.0
w_21.0s5,14.00000000000091
theta_21.0s5,-9994.000000000005
g_21.0s29,0.0
w_21.0s29,14.0
theta_21.0s29,-9982.0
g_21.0s19,0.0
w_21.0s19,14.0
theta_21.0s19,-9982.0
g_21.0s44,0.0
w_21.0s44,0.0
theta_21.0s44,-9000.000000000002
g_21.0s27,0.0
w_21.0s27,14.0
theta_21.0s27,-9982.0
g_21.0s32,0.0
w_21.0s32,0.0
theta_21.0s32,-9000.000000000002
g_21.0s3,0.0
w_21.0s3,0.0
theta_21.0s3,-9000.000000000004
g_21.0s41,0.0
w_21.0s41,14.0
theta_21.0s41,-9838.166666666657
g_21.0s20,0.0
w_21.0s20,14.0
theta_21.0s20,-9982.0
g_21.0s31,0.0
w_21.0s31,14.0
theta_21.0s31,-9982.0
g_21.0s12,0.0
w_21.0s12,0.0
theta_21.0s12,-9000.000000000002
g_21.0s1,0.0
w_21.0s1,14.0
theta_21.0s1,-9982.0
g_21.0s34,0.0
w_21.0s34,14.0
theta_21.0s34,-9920.136986301346
g_21.0s15,0.0
w_21.0s15,14.0
theta_21.0s15,-9982.0
g_21.0s48,0.0
w_21.0s48,14.0
theta_21.0s48,-9982.0
g_21.0s8,0.0
w_21.0s8,-5.684341886080801e-13
theta_21.0s8,-10000.0
g_21.0s18,0.0
w_21.0s18,14.0
theta_21.0s18,-9982.0
g_21.0s45,0.0
w_21.0s45,14.0
theta_21.0s45,-9982.0
g_21.0s24,0.0
w_21.0s24,14.0
theta_21.0s24,-9982.0
g_21.0s6,0.0
w_21.0s6,14.0
theta_21.0s6,-9982.0
g_21.0s42,0.0
w_21.0s42,14.0
theta_21.0s42,-9945.000000000004
g_21.0s21,0.0
w_21.0s21,14.0
theta_21.0s21,-9982.0
g_21.0s30,0.0
w_21.0s30,14.0
theta_21.0s30,-9982.0
g_21.0s11,0.0
w_21.0s11,14.0
theta_21.0s11,-9982.0
g_21.0s22,0.0
w_21.0s22,14.0
theta_21.0s22,-9982.0
g_21.0s4,0.0
w_21.0s4,0.0
theta_21.0s4,-9000.000000000005
g_21.0s37,0.0
w_21.0s37,14.0
theta_21.0s37,-9982.0
g_21.0s14,0.0
w_21.0s14,14.0
theta_21.0s14,-9982.0
g_21.0s49,0.0
w_21.0s49,14.000000000000227
theta_21.0s49,-9903.33333333333
g_21.0s39,0.0
w_21.0s39,14.00000000000091
theta_21.0s39,-9994.000000000005
g_21.0s17,0.0
w_21.0s17,14.000000000000227
theta_21.0s17,9887.000000000007
g_21.0s2,0.0
w_21.0s2,14.000000000000227
theta_21.0s2,-9979.0
g_21.0s46,0.0
w_21.0s46,0.0
theta_21.0s46,-9000.00000000001
g_21.0s25,0.0
w_21.0s25,14.00000000000091
theta_21.0s25,-9979.000000000005
g_21.0s28,0.0
w_21.0s28,14.0
theta_21.0s28,-9982.0
g_21.0s43,0.0
w_21.0s43,14.0
theta_21.0s43,-9982.0
g_21.0s26,0.0
w_21.0s26,14.0
theta_21.0s26,-9982.0
g_21.0s9,0.0
w_21.0s9,14.0
theta_21.0s9,-9982.0
g_21.0s0,0.0
w_21.0s0,14.0
theta_21.0s0,-9982.0
g_21.0s33,0.0
w_21.0s33,14.0
theta_21.0s33,-9982.0
g_21.0s10,0.0
w_21.0s10,14.0
theta_21.0s10,-9982.0
g_21.0s40,0.0
w_21.0s40,0.0
theta_21.0s40,-9984.999999999996
g_21.0s23,0.0
w_21.0s23,14.0
theta_21.0s23,-9981.999999999996
c_21.0,0.0
Z_21.0,0.0
g_30.0s36,0.0
theta_30.0s36,-9805.0
g_30.0s7,0.0
theta_30.0s7,-9805.0
g_30.0s13,0.0
theta_30.0s13,-9805.0
g_30.0s38,0.0
theta_30.0s38,-9724.0
g_30.0s35,0.0
theta_30.0s35,-9851.000000000002
g_30.0s16,0.0
theta_30.0s16,-9668.166666666639
g_30.0s47,0.0
theta_30.0s47,-9775.99999999999
g_30.0s5,0.0
theta_30.0s5,-9726.833333333292
g_30.0s29,0.0
theta_30.0s29,-9770.33333333333
g_30.0s19,0.0
theta_30.0s19,-9668.166666666639
g_30.0s44,0.0
theta_30.0s44,-9793.49999999997
g_30.0s27,0.0
theta_30.0s27,-9749.0
g_30.0s32,0.0
theta_30.0s32,-9685.666666666639
g_30.0s3,0.0
theta_30.0s3,-9805.0
g_30.0s41,0.0
theta_30.0s41,-9669.499999999996
g_30.0s20,0.0
theta_30.0s20,-9805.0
g_30.0s31,0.0
theta_30.0s31,-9749.0
g_30.0s12,0.0
theta_30.0s12,-9897.0
g_30.0s1,0.0
theta_30.0s1,-9760.666666666648
g_30.0s34,0.0
theta_30.0s34,-9659.966514459638
g_30.0s15,0.0
theta_30.0s15,-9668.499999999973
g_30.0s48,0.0
theta_30.0s48,-9668.166666666662
g_30.0s8,0.0
theta_30.0s8,-10000.0
g_30.0s18,0.0
theta_30.0s18,-9749.0
g_30.0s45,0.0
theta_30.0s45,-9749.0
g_30.0s24,0.0
theta_30.0s24,-9749.0
g_30.0s6,0.0
theta_30.0s6,-9831.5
g_30.0s42,0.0
theta_30.0s42,-9897.000000000002
g_30.0s21,0.0
theta_30.0s21,-9676.666666666652
g_30.0s30,0.0
theta_30.0s30,-9736.999999999996
g_30.0s11,0.0
theta_30.0s11,-9805.0
g_30.0s22,0.0
theta_30.0s22,-9805.0
g_30.0s4,0.0
theta_30.0s4,-9897.000000000002
g_30.0s37,0.0
theta_30.0s37,-9770.333333333327
g_30.0s14,0.0
theta_30.0s14,-9749.0
g_30.0s49,0.0
theta_30.0s49,-9779.999999999998
g_30.0s39,0.0
theta_30.0s39,-9994.000000000002
g_30.0s17,0.0
theta_30.0s17,9783.90909090909
g_30.0s2,0.0
theta_30.0s2,-9756.727272727268
g_30.0s46,0.0
theta_30.0s46,-10000.0
g_30.0s25,0.0
theta_30.0s25,-9761.534959349594
g_30.0s28,0.0
theta_30.0s28,-9791.0
g_30.0s43,0.0
theta_30.0s43,-9780.0
g_30.0s26,0.0
theta_30.0s26,-9849.999999999998
g_30.0s9,0.0
theta_30.0s9,-9668.166666666639
g_30.0s0,0.0
theta_30.0s0,-9763.0
g_30.0s33,0.0
theta_30.0s33,-9668.166666666639
g_30.0s10,0.0
theta_30.0s10,-9996.5
g_30.0s40,0.0
theta_30.0s40,-9000.000000000004
g_30.0s23,0.0
theta_30.0s23,-9994.000000000002
c_30.0,0.0
Z_30.0,0.0
g_25.0s36,76.9999999999909
theta_25.0s36,-9787.000000000005
g_25.0s7,28.333333333328483
theta_25.0s7,-9831.000000000002
g_25.0s13,124.99999999999272
theta_25.0s13,-9772.000000000005
g_25.0s38,84.3333333333394
theta_25.0s38,-9787.000000000005
g_25.0s35,59.00000000000182
theta_25.0s35,-9903.000000000004
g_25.0s16,220.0
theta_25.0s16,-9772.000000000005
g_25.0s47,205.99999999999727
theta_25.0s47,-9838.0
g_25.0s5,203.9999999999991
theta_25.0s5,-9840.000000000005
g_25.0s29,158.66666666666242
theta_25.0s29,-9815.000000000004
g_25.0s19,220.0
theta_25.0s19,-9774.000000000005
g_25.0s44,64.24999999994179
theta_25.0s44,-9862.0
g_25.0s27,165.0000000000009
theta_25.0s27,-9831.000000000002
g_25.0s32,115.8333333333145
theta_25.0s32,-9726.000000000004
g_25.0s3,214.7142857142735
theta_25.0s3,-9732.285714285721
g_25.0s41,56.84285714286307
theta_25.0s41,-9687.166666666657
g_25.0s20,220.0
theta_25.0s20,-9772.000000000005
g_25.0s31,95.33333333333394
theta_25.0s31,-9815.000000000004
g_25.0s12,88.00000000000364
theta_25.0s12,-9895.0
g_25.0s1,220.0
theta_25.0s1,-9781.166666666646
g_25.0s34,220.0
theta_25.0s34,-9674.945205479418
g_25.0s15,165.0000000000009
theta_25.0s15,-9831.000000000002
g_25.0s48,5.083333333324845
theta_25.0s48,-9772.000000000005
g_25.0s8,0.0
theta_25.0s8,-9000.000000000004
g_25.0s18,220.0
theta_25.0s18,-9772.000000000005
g_25.0s45,117.33333333332848
theta_25.0s45,-9787.000000000005
g_25.0s24,83.33333333333758
theta_25.0s24,-9831.000000000002
g_25.0s6,177.549999999992
theta_25.0s6,-9787.000000000005
g_25.0s42,207.5322784810087
theta_25.0s42,-9700.00000000001
g_25.0s21,49.000000000003865
theta_25.0s21,-9859.0
g_25.0s30,191.9999999999991
theta_25.0s30,-9787.000000000005
g_25.0s11,38.99999999999636
theta_25.0s11,-9815.000000000004
g_25.0s22,59.999999999992724
theta_25.0s22,-9787.000000000005
g_25.0s4,117.99999999999844
theta_25.0s4,-9852.000000000004
g_25.0s37,105.66666666664787
theta_25.0s37,-9772.000000000005
g_25.0s14,191.9999999999991
theta_25.0s14,-9787.000000000005
g_25.0s49,0.0
theta_25.0s49,-9834.333333333334
g_25.0s39,174.0
theta_25.0s39,-9853.000000000005
g_25.0s17,152.99999999999636
theta_25.0s17,10000.0
g_25.0s2,35.7992424242384
theta_25.0s2,-9862.0
g_25.0s46,0.0
theta_25.0s46,-9000.000000000004
g_25.0s25,194.6723577235698
theta_25.0s25,-9823.000000000005
g_25.0s28,135.99999999999795
theta_25.0s28,-9772.000000000005
g_25.0s43,53.99999999999454
theta_25.0s43,-9772.000000000005
g_25.0s26,220.0
theta_25.0s26,-9772.000000000005
g_25.0s9,220.0
theta_25.0s9,-9772.000000000005
g_25.0s0,202.49999999999454
theta_25.0s0,-9772.000000000005
g_25.0s33,220.0
theta_25.0s33,-9787.000000000005
g_25.0s10,0.0
theta_25.0s10,-9815.000000000004
g_25.0s40,0.0
theta_25.0s40,-9000.000000000004
g_25.0s23,108.00000000000205
theta_25.0s23,-9799.999999999996
c_25.0,0.0
Z_25.0,1.0
g_29.0s36,0.0
w_29.0s36,24.0
theta_29.0s36,-9904.754098360656
g_29.0s7,0.0
w_29.0s7,24.0
theta_29.0s7,-9969.333333333332
g_29.0s13,0.0
w_29.0s13,24.0
