line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,0.5,7.73414634146341,15.4682926829268,True,29.439584779850207,21.463789267866435,139.32199999999992
1.0,0.5,7.73414634146341,15.4682926829268,True,32.28114144012352,24.08157772051602,139.33399999999992
1.0,0.5,7.73414634146341,15.4682926829268,True,163.91831703515928,103.68259506335848,179.65999999999985
1.0,0.5,7.73414634146341,15.4682926829268,True,190.6025129500297,121.55463901338844,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,230.6725883191884,151.33431257962644,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,533.7299382272703,228.6476599208846,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,1188.7942132119174,318.0154458846481,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,1436.9968907413154,350.7110309421158,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,1873.7394324031347,394.4632260685074,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,1896.9683507560098,396.21811800960825,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,2052.821672594008,435.6385011046385,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,2293.443648917448,474.8645118697108,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,2438.9868746104894,491.19265087413976,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,3369.2171474862675,672.500311608533,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,3422.1689344922347,682.0241200081108,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,3502.2008866692136,728.6585527084889,185.55199999999977
1.0,0.5,7.73414634146341,15.4682926829268,True,3600.7485033261473,NA,185.55200000000005
