scenario,type,value
28,1depth,1245.1999999999996
43,1depth,1103.902564102564
23,1depth,1207.7999999999997
24,1depth,1250.7999999999997
25,1depth,1250.7999999999997
26,1depth,1250.7999999999997
27,1depth,1250.7999999999997
20,1depth,1207.7999999999997
21,1depth,1250.7999999999997
48,1depth,1250.7999999999997
49,1depth,1250.7999999999997
46,1depth,1250.7999999999997
47,1depth,1250.7999999999997
44,1depth,1250.7999999999997
45,1depth,959.9999999999999
42,1depth,1250.7999999999997
29,1depth,1250.7999999999997
40,1depth,1250.7999999999997
41,1depth,1250.7999999999997
1,1depth,1250.7999999999997
0,1depth,1250.7999999999997
3,1depth,1249.7999999999997
2,1depth,1250.7999999999997
5,1depth,1250.7999999999997
4,1depth,1250.5999999999997
7,1depth,1250.7999999999997
6,1depth,1250.7999999999997
9,1depth,1250.7999999999997
8,1depth,1250.7999999999997
39,1depth,1250.7999999999997
12,1depth,1250.7999999999997
14,1depth,1250.7999999999997
11,1depth,1250.7999999999997
10,1depth,1249.6999999999996
13,1depth,1250.7999999999997
38,1depth,1250.7999999999997
15,1depth,1227.7999999999997
22,1depth,1250.7999999999997
17,1depth,1250.7999999999997
16,1depth,1062.9025641025642
19,1depth,1250.7999999999997
32,1depth,1250.7999999999997
31,1depth,1207.7999999999997
30,1depth,1250.7999999999997
37,1depth,1250.7999999999997
36,1depth,1250.7999999999997
35,1depth,1207.7999999999997
34,1depth,1250.7999999999997
33,1depth,1250.7999999999997
18,1depth,1250.7999999999997
28,fullcascade,1250.7999999999997
43,fullcascade,960.0
23,fullcascade,1207.7999999999997
24,fullcascade,1250.7999999999997
25,fullcascade,1250.7999999999997
26,fullcascade,834.1999999999999
27,fullcascade,1250.7999999999997
20,fullcascade,1207.7999999999997
21,fullcascade,858.3999999999999
48,fullcascade,898.0000000000001
49,fullcascade,1250.7999999999997
46,fullcascade,1250.7999999999997
47,fullcascade,1250.7999999999997
44,fullcascade,1250.7999999999997
45,fullcascade,959.9999999999998
42,fullcascade,1250.7999999999997
29,fullcascade,959.9999999999999
40,fullcascade,1250.7999999999997
41,fullcascade,1250.7999999999997
1,fullcascade,1250.7999999999997
0,fullcascade,982.9999999999998
3,fullcascade,1250.7999999999997
2,fullcascade,987.9999999999999
5,fullcascade,1250.7999999999997
4,fullcascade,984.9999999999998
7,fullcascade,959.9999999999999
6,fullcascade,1250.7999999999997
9,fullcascade,1250.7999999999997
8,fullcascade,1250.7999999999997
39,fullcascade,1250.7999999999997
12,fullcascade,920.9999999999998
14,fullcascade,982.9999999999998
11,fullcascade,1250.7999999999997
10,fullcascade,1250.7999999999997
13,fullcascade,1250.7999999999997
38,fullcascade,811.8
15,fullcascade,830.4
22,fullcascade,1250.7999999999997
17,fullcascade,816.7999999999998
16,fullcascade,783.5999999999999
19,fullcascade,1250.7999999999997
32,fullcascade,884.9999999999998
31,fullcascade,1207.7999999999997
30,fullcascade,1250.7999999999997
37,fullcascade,828.6000000000001
36,fullcascade,1250.7999999999997
35,fullcascade,989.8000000000001
34,fullcascade,1250.7999999999997
33,fullcascade,884.5
18,fullcascade,1250.7999999999997
