name,value
g_25.0s36,0.0
w_25.0s36,6.3
theta_25.0s36,9726.261479430354
g_25.0s7,0.0
w_25.0s7,0.0
theta_25.0s7,-7986.736902233787
g_25.0s13,0.0
w_25.0s13,6.3
theta_25.0s13,-9948.846732254668
g_25.0s38,0.0
w_25.0s38,6.3
theta_25.0s38,-9906.315468345509
g_25.0s35,0.0
w_25.0s35,6.3
theta_25.0s35,-9972.244922036001
g_25.0s16,0.0
w_25.0s16,0.0
theta_25.0s16,-10000.0
g_25.0s47,0.0
w_25.0s47,6.3
theta_25.0s47,-9950.072178554936
g_25.0s5,0.0
w_25.0s5,6.3
theta_25.0s5,-9911.967252044627
g_25.0s29,0.0
w_25.0s29,0.0
theta_25.0s29,-9974.191264485416
g_25.0s19,0.0
w_25.0s19,6.3
theta_25.0s19,9740.60975410604
g_25.0s44,0.0
w_25.0s44,6.3
theta_25.0s44,9735.23838064336
g_25.0s27,0.0
w_25.0s27,6.3
theta_25.0s27,-9942.234494702163
g_25.0s32,0.0
w_25.0s32,0.0
theta_25.0s32,-9980.560007882108
g_25.0s3,0.0
w_25.0s3,6.3
theta_25.0s3,9750.05144459891
g_25.0s41,0.0
w_25.0s41,6.3
theta_25.0s41,9733.709251452656
g_25.0s20,0.0
w_25.0s20,6.3
theta_25.0s20,9781.36451941796
g_25.0s31,0.0
w_25.0s31,6.3
theta_25.0s31,9783.761421079662
g_25.0s12,0.0
w_25.0s12,6.3
theta_25.0s12,-9992.918068842126
g_25.0s1,0.0
w_25.0s1,6.3
theta_25.0s1,-9906.877716523199
g_25.0s34,0.0
w_25.0s34,6.3
theta_25.0s34,-9911.875574300473
g_25.0s15,0.0
w_25.0s15,0.0
theta_25.0s15,-9994.175430465282
g_25.0s48,0.0
w_25.0s48,6.3
theta_25.0s48,-9987.124797902054
g_25.0s8,0.0
w_25.0s8,6.3
theta_25.0s8,9726.039637765589
g_25.0s18,0.0
w_25.0s18,6.3
theta_25.0s18,9743.041952379375
g_25.0s45,0.0
w_25.0s45,6.3
theta_25.0s45,-9988.538261635942
g_25.0s24,0.0
w_25.0s24,6.3
theta_25.0s24,-9949.241117102541
g_25.0s6,0.0
w_25.0s6,6.3
theta_25.0s6,9736.915928871877
g_25.0s42,0.0
w_25.0s42,6.3
theta_25.0s42,-9950.29893353087
g_25.0s21,0.0
w_25.0s21,0.0
theta_25.0s21,-9999.977391171735
g_25.0s30,0.0
w_25.0s30,6.3
theta_25.0s30,9745.421223304256
g_25.0s11,0.0
w_25.0s11,6.3
theta_25.0s11,9714.829324765742
g_25.0s22,0.0
w_25.0s22,6.3
theta_25.0s22,9726.675214445055
g_25.0s4,0.0
w_25.0s4,6.3
theta_25.0s4,-9947.274763340873
g_25.0s37,0.0
w_25.0s37,6.3
theta_25.0s37,9713.368854548964
g_25.0s14,0.0
w_25.0s14,6.3
theta_25.0s14,-9941.443398651072
g_25.0s49,0.0
w_25.0s49,6.3
theta_25.0s49,-9911.730321952447
g_25.0s39,0.0
w_25.0s39,6.3
theta_25.0s39,-9949.450975827904
g_25.0s17,0.0
w_25.0s17,6.3
theta_25.0s17,9696.244054788247
g_25.0s2,0.0
w_25.0s2,6.3
theta_25.0s2,-9961.487892944133
g_25.0s46,0.0
w_25.0s46,6.3
theta_25.0s46,-9968.488588127597
g_25.0s25,0.0
w_25.0s25,6.3
theta_25.0s25,-9944.621476901511
g_25.0s28,0.0
w_25.0s28,6.3
theta_25.0s28,-9947.597618334858
g_25.0s43,0.0
w_25.0s43,0.0
theta_25.0s43,-7995.920063436075
g_25.0s26,0.0
w_25.0s26,0.0
theta_25.0s26,9999.999999999993
g_25.0s9,0.0
w_25.0s9,6.3
theta_25.0s9,-9896.53542039106
g_25.0s0,0.0
w_25.0s0,6.3
theta_25.0s0,-9948.664680983395
g_25.0s33,0.0
w_25.0s33,6.3
theta_25.0s33,9724.504886878518
g_25.0s10,0.0
w_25.0s10,6.3
theta_25.0s10,-9946.470811176248
g_25.0s40,0.0
w_25.0s40,6.3
theta_25.0s40,9749.627204830125
g_25.0s23,0.0
w_25.0s23,6.3
theta_25.0s23,-9940.214557265246
c_25.0,0.0
Z_25.0,0.0
g_16.0s36,0.0
w_16.0s36,43.0
theta_16.0s36,9743.367288819642
g_16.0s7,0.0
w_16.0s7,43.00000000000023
theta_16.0s7,-8004.556217804933
g_16.0s13,0.0
w_16.0s13,43.0
theta_16.0s13,-9938.336543154799
g_16.0s38,0.0
w_16.0s38,43.0
theta_16.0s38,-9891.575132188074
g_16.0s35,0.0
w_16.0s35,0.0
theta_16.0s35,-9000.000000000004
g_16.0s16,0.0
w_16.0s16,43.00000000000023
theta_16.0s16,-10000.000000000004
g_16.0s47,0.0
w_16.0s47,43.00000000000023
theta_16.0s47,-9952.841680037742
g_16.0s5,0.0
w_16.0s5,43.0
theta_16.0s5,-9906.099435632263
g_16.0s29,0.0
w_16.0s29,43.00000000000023
theta_16.0s29,-9970.733153847092
g_16.0s19,0.0
w_16.0s19,43.0
theta_16.0s19,9752.544951958533
g_16.0s44,0.0
w_16.0s44,43.0
theta_16.0s44,9748.951996899563
g_16.0s27,0.0
w_16.0s27,43.0
theta_16.0s27,-9936.075698100036
g_16.0s32,0.0
w_16.0s32,-5.684341886080801e-13
theta_16.0s32,-9919.339730353444
g_16.0s3,0.0
w_16.0s3,43.0
theta_16.0s3,9762.481105431001
g_16.0s41,0.0
w_16.0s41,43.0
theta_16.0s41,9746.950132748963
g_16.0s20,0.0
w_16.0s20,0.0
theta_16.0s20,9000.000000000004
g_16.0s31,0.0
w_16.0s31,0.0
theta_16.0s31,8843.959388885907
g_16.0s12,0.0
w_16.0s12,43.0
theta_16.0s12,-9982.057547144363
g_16.0s1,0.0
w_16.0s1,43.0
theta_16.0s1,-9889.207129492472
