edge_i,edge_j,capacity
1.0,15.0,97.90128205128198
1.0,17.0,93.001282051282
1.0,16.0,70.601282051282
1.0,32.0,50.1038461538461
1.0,2.0,89.501282051282
1.0,29.0,50.1038461538461
35.0,25.0,33.4025641025641
35.0,36.0,37.001282051282
35.0,34.0,27.901282051282
56.0,42.0,20.901282051282
56.0,40.0,20.901282051282
56.0,57.0,6.300000000000001
56.0,41.0,27.201282051282
34.0,32.0,27.901282051282
37.0,38.0,46.101282051282
37.0,36.0,41.201282051282
37.0,39.0,4.899999999999999
7.0,8.0,129.5
7.0,29.0,125.20128205128199
7.0,6.0,37.701282051282
38.0,22.0,5.600000000000001
38.0,48.0,24.5
38.0,44.0,40.501282051282
38.0,49.0,10.5
3.0,15.0,77.69999999999999
3.0,2.0,60.9
3.0,4.0,11.2
6.0,5.0,60.101282051282
6.0,8.0,82.501282051282
6.0,4.0,39.9
51.0,10.0,70.601282051282
51.0,50.0,41.201282051282
19.0,20.0,19.501282051282
19.0,18.0,25.101282051282
19.0,50.0,33.4025641025641
36.0,40.0,4.199999999999999
39.0,57.0,4.899999999999999
20.0,21.0,18.101282051282
8.0,9.0,307.901282051282
21.0,22.0,18.101282051282
11.0,33.0,50.1038461538461
11.0,9.0,90.90128205128198
11.0,43.0,40.501282051282
11.0,13.0,51.001282051282
11.0,41.0,32.801282051282
22.0,23.0,21.601282051282
50.0,28.0,50.1038461538461
50.0,14.0,33.4025641025641
50.0,49.0,9.100000000000001
17.0,12.0,9.100000000000001
17.0,44.0,50.1038461538461
13.0,15.0,39.101282051282
13.0,14.0,27.299999999999997
13.0,12.0,20.201282051282
13.0,49.0,52.49999999999999
13.0,9.0,72.70128205128199
44.0,45.0,42.699999999999996
16.0,12.0,15.399999999999999
47.0,48.0,20.299999999999997
47.0,46.0,67.9
47.0,52.0,50.1038461538461
49.0,48.0,21.601282051282
9.0,55.0,46.101282051282
9.0,10.0,74.80128205128199
9.0,12.0,48.901282051281996
53.0,54.0,28.601282051282
53.0,52.0,20.299999999999997
5.0,4.0,22.4
55.0,54.0,34.901282051281996
30.0,25.0,13.299999999999997
30.0,24.0,33.4025641025641
30.0,31.0,7.699999999999999
46.0,14.0,67.9
10.0,12.0,20.901282051282
45.0,15.0,43.4
41.0,42.0,32.801282051282
41.0,43.0,37.001282051282
27.0,28.0,44.099999999999994
27.0,26.0,28.699999999999996
18.0,42.0,50.1038461538461
18.0,4.0,51.099999999999994
28.0,29.0,69.20128205128199
33.0,32.0,23.001282051282
52.0,29.0,45.401282051281996
26.0,24.0,45.401282051281996
15.0,14.0,74.101282051282
15.0,24.0,50.1038461538461
25.0,24.0,39.801282051282
24.0,23.0,23.001282051282
31.0,32.0,2.8000000000000007
23.0,42.0,33.4025641025641
