scenario,type,value
28,1depth,3511.5899999999997
43,1depth,3511.5899999999997
23,1depth,3511.5899999999997
24,1depth,3511.5899999999997
25,1depth,3511.5899999999997
26,1depth,3511.5899999999997
27,1depth,3511.5899999999997
20,1depth,3511.5899999999997
21,1depth,3511.5899999999997
48,1depth,3511.590000000005
49,1depth,3511.5899999999997
46,1depth,3511.5899999999997
47,1depth,3511.5899999999997
44,1depth,3511.5899999999997
45,1depth,3511.5899999999997
42,1depth,3511.5899999999997
29,1depth,3511.5899999999997
40,1depth,3511.5899999999997
41,1depth,3511.5899999999997
1,1depth,3511.5899999999997
0,1depth,3511.5899999999997
3,1depth,3511.5899999999997
2,1depth,3511.5899999999997
5,1depth,3511.5899999999997
4,1depth,3511.5899999999997
7,1depth,3511.5899999999997
6,1depth,3511.5899999999997
9,1depth,3511.5899999999997
8,1depth,3511.5899999999997
39,1depth,3511.5899999999997
12,1depth,3511.5899999999997
14,1depth,3511.5899999999997
11,1depth,3511.5899999999997
10,1depth,3511.5899999999997
13,1depth,3511.5899999999997
38,1depth,3511.5899999999997
15,1depth,3512.7799999999997
22,1depth,3511.5899999999997
17,1depth,3511.5899999999997
16,1depth,3511.5899999999997
19,1depth,3511.5899999999997
32,1depth,3511.590000000005
31,1depth,3511.5899999999997
30,1depth,3511.5899999999997
37,1depth,3511.5899999999997
36,1depth,3511.5899999999997
35,1depth,3511.5899999999997
34,1depth,3511.5899999999997
33,1depth,3511.5899999999997
18,1depth,3511.5899999999997
28,fullcascade,23747.34
43,fullcascade,23664.34
23,fullcascade,23847.65
24,fullcascade,23747.34
25,fullcascade,15827.040000000003
26,fullcascade,20392.91999999999
27,fullcascade,23747.34
20,fullcascade,23689.339999999997
21,fullcascade,23747.34
48,fullcascade,20487.019999999993
49,fullcascade,20733.789999999994
46,fullcascade,23747.34
47,fullcascade,23747.34
44,fullcascade,23747.34
45,fullcascade,20465.509999999995
42,fullcascade,23781.65
29,fullcascade,23747.34
40,fullcascade,17980.32
41,fullcascade,20937.289999999994
1,fullcascade,23747.34
0,fullcascade,23747.34
3,fullcascade,23470.54
2,fullcascade,23747.34
5,fullcascade,23747.34
4,fullcascade,23440.84
7,fullcascade,23747.34
6,fullcascade,23747.34
9,fullcascade,19341.289999999994
8,fullcascade,23747.34
39,fullcascade,21756.239999999998
12,fullcascade,23747.34
14,fullcascade,22204.2
11,fullcascade,23747.34
10,fullcascade,17816.140000000007
13,fullcascade,23747.34
38,fullcascade,23747.34
15,fullcascade,22535.870000000014
22,fullcascade,22872.689999999977
17,fullcascade,23747.34
16,fullcascade,23440.84
19,fullcascade,23747.34
32,fullcascade,20258.219999999998
31,fullcascade,23747.34
30,fullcascade,22540.039999999997
37,fullcascade,23702.34
36,fullcascade,23281.54
35,fullcascade,23747.34
34,fullcascade,18070.809999999994
33,fullcascade,17298.5
18,fullcascade,17353.899999999998
