edge_i,edge_j,capacity
201.0,69.0,172.223960880196
201.0,192.0,200.247921760391
201.0,204.0,7.699999999999999
213.0,214.0,533.423960880196
112.0,110.0,113.42396088019599
112.0,114.0,118.323960880196
155.0,164.0,462.72396088019593
155.0,161.0,216.32396088019598
155.0,156.0,262.523960880196
7061.0,61.0,692.323960880196
237.0,234.0,68.6
237.0,222.0,92.39999999999999
237.0,219.0,427.72396088019593
237.0,241.0,1065.4239608801959
237.0,231.0,709.823960880196
102.0,86.0,151.92396088019598
102.0,98.0,116.92396088019599
102.0,100.0,155.42396088019598
102.0,97.0,156.82396088019598
102.0,104.0,56.699999999999996
160.0,124.0,148.42396088019598
160.0,158.0,148.42396088019598
160.0,113.0,200.247921760391
35.0,76.0,215.62396088019597
35.0,77.0,84.0
35.0,36.0,208.623960880196
35.0,72.0,176.42396088019598
528.0,70.0,144.92396088019598
52.0,51.0,142.123960880196
52.0,55.0,54.599999999999994
187.0,188.0,861.7239608801959
187.0,181.0,1002.4
7.0,5.0,234.52396088019597
7.0,131.0,81.19999999999999
7.0,531.0,200.247921760391
7.0,12.0,413.72396088019593
7.0,3.0,588.023960880196
7.0,6.0,40.599999999999994
12.0,37.0,200.247921760391
12.0,10.0,210.7
12.0,7012.0,560.0
12.0,21.0,662.1999999999999
235.0,234.0,19.599999999999998
235.0,238.0,404.59999999999997
140.0,146.0,67.19999999999999
140.0,142.0,101.523960880196
140.0,230.0,200.247921760391
140.0,147.0,189.023960880196
140.0,182.0,324.123960880196
140.0,141.0,111.3
140.0,137.0,550.1999999999999
140.0,145.0,18.9
664.0,7024.0,200.247921760391
664.0,11.0,200.247921760391
664.0,194.0,279.32396088019595
7001.0,1.0,786.823960880196
7001.0,87.0,200.247921760391
9054.0,9005.0,184.123960880196
9054.0,168.0,200.247921760391
250.0,249.0,35.699999999999996
220.0,221.0,206.523960880196
220.0,238.0,518.0
220.0,217.0,160.32396088019598
220.0,218.0,173.623960880196
220.0,324.0,200.247921760391
38.0,37.0,145.623960880196
38.0,33.0,247.82396088019598
38.0,43.0,80.5
38.0,41.0,233.123960880196
166.0,7166.0,874.323960880196
166.0,165.0,873.623960880196
104.0,322.0,104.323960880196
104.0,108.0,138.623960880196
10.0,11.0,31.499999999999996
233.0,232.0,123.89999999999999
135.0,136.0,335.29999999999995
135.0,134.0,168.723960880196
189.0,209.0,119.023960880196
189.0,208.0,37.099999999999994
189.0,210.0,130.223960880196
161.0,153.0,273.023960880196
7003.0,319.0,200.247921760391
7003.0,3.0,1798.3
192.0,609.0,200.247921760391
192.0,225.0,166.623960880196
192.0,191.0,1222.8999999999999
249.0,248.0,10.5
17.0,15.0,380.82396088019595
17.0,7017.0,611.0999999999999
218.0,145.0,200.247921760391
218.0,1201.0,200.247921760391
218.0,217.0,123.22396088019599
218.0,219.0,110.6
123.0,125.0,12.6
123.0,122.0,28.0
123.0,124.0,209.32396088019598
163.0,164.0,362.623960880196
163.0,9044.0,200.247921760391
163.0,137.0,362.623960880196
169.0,133.0,249.223960880196
169.0,126.0,88.89999999999999
169.0,167.0,158.92396088019598
153.0,183.0,235.92396088019598
153.0,152.0,106.42396088019599
26.0,25.0,218.42396088019598
26.0,320.0,104.323960880196
26.0,27.0,67.19999999999999
26.0,203.0,200.247921760391
26.0,116.0,200.247921760391
44.0,54.0,110.623960880196
44.0,45.0,529.2239608801959
44.0,47.0,136.5
44.0,7044.0,62.99999999999999
44.0,43.0,138.623960880196
9004.0,9043.0,102.92396088019599
9004.0,9041.0,2.0999999999999996
9004.0,9044.0,107.123960880196
9004.0,9042.0,101.523960880196
9004.0,109.0,200.247921760391
190.0,231.0,900.1999999999999
190.0,142.0,200.247921760391
190.0,229.0,49.0
190.0,240.0,52.5
7055.0,55.0,75.6
9072.0,9007.0,102.22396088019599
121.0,115.0,205.123960880196
121.0,118.0,73.5
121.0,119.0,874.3
215.0,216.0,340.923960880196
215.0,214.0,508.923960880196
215.0,212.0,191.82396088019598
215.0,176.0,200.247921760391
216.0,217.0,39.199999999999996
216.0,162.0,200.247921760391
9071.0,9007.0,102.22396088019599
9071.0,210.0,200.247921760391
9071.0,196.0,200.247921760391
142.0,175.0,266.0
142.0,143.0,355.59999999999997
126.0,127.0,145.623960880196
126.0,158.0,117.6
126.0,125.0,627.9
126.0,129.0,254.82396088019598
126.0,157.0,100.8
126.0,132.0,214.89999999999998
177.0,178.0,310.82396088019595
177.0,176.0,232.42396088019598
7071.0,71.0,317.123960880196
7011.0,11.0,354.2
210.0,198.0,247.82396088019598
210.0,199.0,151.92396088019598
210.0,200.0,135.123960880196
210.0,196.0,127.42396088019599
210.0,9.0,200.247921760391
225.0,7057.0,200.247921760391
225.0,191.0,1043.023960880196
225.0,224.0,226.1
92.0,90.0,198.123960880196
92.0,105.0,308.023960880196
92.0,103.0,218.42396088019598
7017.0,320.0,200.247921760391
