scenario,type,value
28,1depth,4241.201396648045
43,1depth,4242.0
23,1depth,4231.705586592196
24,1depth,4242.0
25,1depth,4223.518156424582
26,1depth,4223.1
27,1depth,4242.0
20,1depth,4240.2
21,1depth,4191.800000000005
48,1depth,4242.0
49,1depth,4205.60279329609
46,1depth,4185.4069832402365
47,1depth,4242.0
44,1depth,4169.904189944136
45,1depth,4242.0
42,1depth,4226.911173184371
29,1depth,4242.0
40,1depth,4003.906983240227
41,1depth,4242.0
1,1depth,4235.801396648045
0,1depth,4228.5
3,1depth,4239.005586592181
2,1depth,4201.201396648048
5,1depth,4105.713966480459
4,1depth,4241.211173184358
7,1depth,4179.0
6,1depth,4235.502793296089
9,1depth,4242.0
8,1depth,4232.305586592183
39,1depth,4242.0
12,1depth,4115.711173184365
14,1depth,4066.5041899441403
11,1depth,4238.808379888269
10,1depth,4101.809776537322
13,1depth,4229.402793296089
38,1depth,4200.905586592184
15,1depth,4095.20418994514
22,1depth,4242.0
17,1depth,4242.0
16,1depth,4210.6
19,1depth,4242.0
32,1depth,4200.000000000001
31,1depth,4218.0
30,1depth,4155.000000000001
37,1depth,4241.200000000999
36,1depth,4156.705586593179
35,1depth,4135.809776536322
34,1depth,4219.901396648044
33,1depth,4242.0
18,1depth,4239.800000003001
28,fullcascade,1802.0000000000005
43,fullcascade,2038.9999999999998
23,fullcascade,1823.0
24,fullcascade,2133.0
25,fullcascade,1534.9999999999998
26,fullcascade,2015.9999999999998
27,fullcascade,2152.0
20,fullcascade,2254.0
21,fullcascade,2023.0
48,fullcascade,1849.9999999999995
49,fullcascade,1825.0
46,fullcascade,1555.0000000000002
47,fullcascade,1633.0000000000002
44,fullcascade,1806.0
45,fullcascade,2014.0
42,fullcascade,2203.0
29,fullcascade,2121.0
40,fullcascade,1687.0000000000002
41,fullcascade,2279.0000000000005
1,fullcascade,2235.0000000000005
0,fullcascade,1852.0000000000002
3,fullcascade,2162.0
2,fullcascade,1989.9999999999998
5,fullcascade,1796.9999999999993
4,fullcascade,1853.0000000000002
7,fullcascade,2286.0
6,fullcascade,2086.0
9,fullcascade,1811.9999999999998
8,fullcascade,1795.0
39,fullcascade,2228.0
12,fullcascade,2112.9999999999995
14,fullcascade,2241.9999999999995
11,fullcascade,2188.0
10,fullcascade,1956.0000000000002
13,fullcascade,1664.0
38,fullcascade,2379.0
15,fullcascade,2190.0000000000005
22,fullcascade,1649.9999999999995
17,fullcascade,1971.0
16,fullcascade,2238.0
19,fullcascade,1751.0000000000002
32,fullcascade,1922.0000000000005
31,fullcascade,2366.0
30,fullcascade,2085.0
37,fullcascade,1876.9999999999998
36,fullcascade,2200.0
35,fullcascade,1700.0
34,fullcascade,2021.0
33,fullcascade,1823.0
18,fullcascade,2224.0
