scenario,supply
24,3423.0
36,2996.9999999999995
7,2989.0
13,2917.9999999999995
41,3208.0000000000005
20,3676.0
17,3056.0
2,3515.0
19,3556.9999999999995
46,2097.0000000000005
25,2703.9999999999995
31,3316.0000000000005
6,3457.9999999999995
23,2788.9999999999995
38,3488.0
42,3044.9999999999995
21,2764.9999999999995
35,2822.9999999999995
33,3453.0
16,3557.0
1,3538.9999999999995
47,3021.9999999999995
30,2989.000000000001
5,2316.9999999999995
11,2782.999999999999
29,3674.0
39,3132.9999999999995
18,3556.9999999999995
26,3261.0
34,3161.0
9,3556.9999999999995
43,3077.0
15,3577.0
0,3160.000000000001
48,3648.0
12,2307.0
4,3103.999999999999
10,2071.000000000001
44,3414.9999999999995
27,3738.0
37,3493.9999999999995
8,2911.999999999999
28,3365.0
14,3468.9999999999995
40,2548.9999999999986
49,2999.9999999999995
22,3315.9999999999995
32,3386.0
3,2667.0
45,3687.9999999999995
