node1,node2,capacity,reactance,cost_fixed,cost_linear
1.0,2.0,8.0,1.0,0.0,0.1
1.0,3.0,48.0,1.0,0.0,0.1
2.0,12.0,53.0,1.0,0.0,0.1
3.0,12.0,12.0,1.0,0.0,0.1
3.0,5.0,124.0,1.0,0.0,0.1
4.0,11.0,129.0,1.0,0.0,0.1
4.0,5.0,217.0,1.0,0.0,0.1
5.0,8.0,678.0,1.0,0.0,0.1
5.0,11.0,154.0,1.0,0.0,0.1
5.0,6.0,182.0,1.0,0.0,0.1
6.0,7.0,64.0,1.0,0.0,0.1
7.0,12.0,21.0,1.0,0.0,0.1
8.0,9.0,888.0,1.0,0.0,0.1
8.0,30.0,148.0,1.0,0.0,0.1
9.0,10.0,896.0,1.0,0.0,0.1
11.0,12.0,52.0,1.0,0.0,0.1
11.0,13.0,71.0,1.0,0.0,0.1
12.0,14.0,33.0,1.0,0.0,0.1
12.0,16.0,17.0,1.0,0.0,0.1
12.0,117.0,46.0,1.0,0.0,0.1
13.0,15.0,7.0,1.0,0.0,0.1
14.0,15.0,1.0,1.0,0.0,0.1
15.0,17.0,188.0,1.0,0.0,0.1
15.0,19.0,9.0,1.0,0.0,0.1
15.0,33.0,18.0,1.0,0.0,0.1
16.0,17.0,40.0,1.0,0.0,0.1
17.0,113.0,12.0,1.0,0.0,0.1
17.0,18.0,140.0,1.0,0.0,0.1
17.0,30.0,447.0,1.0,0.0,0.1
17.0,31.0,41.0,1.0,0.0,0.1
18.0,19.0,34.0,1.0,0.0,0.1
19.0,20.0,7.0,1.0,0.0,0.1
19.0,34.0,5.0,1.0,0.0,0.1
20.0,21.0,47.0,1.0,0.0,0.1
21.0,22.0,79.0,1.0,0.0,0.1
22.0,23.0,102.0,1.0,0.0,0.1
23.0,24.0,46.0,1.0,0.0,0.1
23.0,25.0,336.0,1.0,0.0,0.1
23.0,32.0,171.0,1.0,0.0,0.1
24.0,72.0,17.0,1.0,0.0,0.1
24.0,70.0,1.0,1.0,0.0,0.1
25.0,26.0,189.0,1.0,0.0,0.1
25.0,27.0,283.0,1.0,0.0,0.1
26.0,30.0,441.0,1.0,0.0,0.1
27.0,32.0,22.0,1.0,0.0,0.1
27.0,115.0,44.0,1.0,0.0,0.1
27.0,28.0,70.0,1.0,0.0,0.1
28.0,29.0,31.0,1.0,0.0,0.1
29.0,31.0,24.0,1.0,0.0,0.1
30.0,38.0,135.0,1.0,0.0,0.1
31.0,32.0,64.0,1.0,0.0,0.1
32.0,113.0,2.0,1.0,0.0,0.1
32.0,114.0,24.0,1.0,0.0,0.1
33.0,37.0,35.0,1.0,0.0,0.1
34.0,43.0,23.0,1.0,0.0,0.1
34.0,36.0,53.0,1.0,0.0,0.1
34.0,37.0,202.0,1.0,0.0,0.1
35.0,36.0,7.0,1.0,0.0,0.1
35.0,37.0,69.0,1.0,0.0,0.1
37.0,38.0,430.0,1.0,0.0,0.1
37.0,39.0,75.0,1.0,0.0,0.1
37.0,40.0,52.0,1.0,0.0,0.1
38.0,65.0,296.0,1.0,0.0,0.1
39.0,40.0,13.0,1.0,0.0,0.1
40.0,41.0,44.0,1.0,0.0,0.1
