edge_i,edge_j,capacity
112.0,110.0,120.80279329608939
102.0,92.0,42.699999999999996
35.0,37.0,48.3
35.0,36.0,40.1013966480447
52.0,51.0,76.5013966480447
52.0,53.0,47.80139664804471
7.0,12.0,49.901396648044695
7.0,6.0,80.0013966480447
12.0,117.0,67.4013966480447
12.0,14.0,23.099999999999998
12.0,11.0,71.6013966480447
12.0,3.0,8.399999999999999
12.0,16.0,11.899999999999999
12.0,2.0,37.099999999999994
6.0,5.0,127.39999999999999
37.0,33.0,59.7013966480447
37.0,34.0,176.60139664804467
37.0,38.0,301.0
37.0,40.0,36.4
37.0,39.0,52.5
97.0,80.0,87.70139664804469
97.0,96.0,134.3041899441341
50.0,57.0,79.30139664804469
104.0,100.0,98.20139664804469
104.0,103.0,111.00279329608938
10.0,38.0,35.2013966480447
10.0,9.0,662.4013966480446
74.0,75.0,94.0013966480447
74.0,70.0,57.6013966480447
95.0,94.0,93.30139664804469
95.0,96.0,44.3013966480447
106.0,107.0,14.0
106.0,100.0,101.70139664804469
106.0,105.0,52.7013966480447
76.0,118.0,38.7013966480447
44.0,43.0,13.299999999999999
16.0,17.0,28.0
69.0,70.0,220.90279329608938
69.0,49.0,89.1013966480447
69.0,75.0,189.2013966480447
69.0,68.0,206.00139664804468
69.0,54.0,105.6041899441341
69.0,47.0,68.6
69.0,77.0,114.80000000000001
45.0,46.0,50.4
45.0,49.0,107.30139664804469
92.0,89.0,345.30139664804466
92.0,93.0,95.4013966480447
92.0,94.0,87.0013966480447
92.0,91.0,98.4027932960894
92.0,100.0,56.901396648044695
26.0,25.0,167.50139664804468
26.0,30.0,343.9013966480447
14.0,15.0,35.9013966480447
24.0,70.0,0.7
24.0,72.0,47.1013966480447
24.0,23.0,67.40139664804471
88.0,89.0,206.20279329608937
88.0,85.0,94.70139664804469
116.0,68.0,396.1041899441341
22.0,21.0,55.3
22.0,23.0,141.8027932960894
65.0,64.0,294.2013966480447
65.0,66.0,57.6013966480447
65.0,38.0,242.40139664804468
65.0,68.0,143.0013966480447
49.0,66.0,359.30139664804466
49.0,51.0,124.80139664804469
49.0,48.0,89.80139664804469
49.0,47.0,28.0
49.0,42.0,162.6013966480447
49.0,54.0,132.5013966480447
54.0,59.0,34.3
54.0,55.0,2.8
54.0,53.0,24.5
54.0,56.0,3.5
114.0,115.0,39.401396648044695
114.0,32.0,52.0013966480447
114.0,72.0,35.2013966480447
66.0,62.0,126.40279329608938
66.0,67.0,115.70139664804469
55.0,59.0,73.0013966480447
55.0,56.0,9.1
113.0,32.0,1.4
113.0,17.0,43.6013966480447
113.0,70.0,70.4027932960894
90.0,89.0,286.5013966480447
90.0,91.0,11.899999999999999
34.0,19.0,73.9027932960894
34.0,36.0,72.30139664804469
34.0,43.0,16.1
3.0,5.0,86.8
3.0,1.0,68.80139664804469
79.0,80.0,131.1013966480447
79.0,78.0,69.5013966480447
2.0,1.0,5.6
96.0,82.0,59.0013966480447
96.0,94.0,23.799999999999997
96.0,80.0,76.5013966480447
20.0,19.0,4.899999999999999
20.0,21.0,68.1013966480447
61.0,59.0,70.69999999999999
61.0,64.0,84.9013966480447
61.0,60.0,203.90139664804468
61.0,62.0,78.6013966480447
94.0,93.0,75.80139664804469
109.0,110.0,39.401396648044695
109.0,108.0,44.3013966480447
73.0,71.0,9.799999999999999
73.0,30.0,105.6041899441341
40.0,42.0,12.600000000000001
40.0,39.0,9.1
40.0,41.0,66.0013966480447
27.0,115.0,66.0013966480447
27.0,25.0,198.1
27.0,28.0,119.40279329608938
27.0,32.0,15.399999999999999
42.0,41.0,63.2013966480447
59.0,63.0,245.2013966480447
59.0,56.0,62.99999999999999
59.0,60.0,92.6013966480447
25.0,23.0,235.2
89.0,85.0,92.39999999999999
99.0,100.0,71.6013966480447
99.0,80.0,30.799999999999997
62.0,60.0,47.1013966480447
62.0,67.0,70.20139664804469
57.0,56.0,24.5
57.0,103.0,105.6041899441341
23.0,32.0,225.30418994413407
32.0,31.0,44.8
33.0,15.0,47.8013966480447
80.0,98.0,80.70139664804469
80.0,81.0,12.600000000000001
80.0,77.0,230.50139664804468
56.0,58.0,0.7
82.0,83.0,36.4
82.0,77.0,61.1013966480447
19.0,18.0,23.799999999999997
19.0,15.0,41.5013966480447
78.0,77.0,78.39999999999999
8.0,5.0,509.80139664804466
8.0,30.0,103.6
8.0,9.0,621.5999999999999
108.0,105.0,11.899999999999999
72.0,71.0,42.901396648044695
71.0,70.0,52.7013966480447
101.0,100.0,0.7
103.0,110.0,85.6013966480447
103.0,100.0,186.60279329608937
103.0,105.0,49.0
28.0,29.0,21.7
84.0,83.0,59.7013966480447
84.0,85.0,77.20139664804469
63.0,64.0,245.2013966480447
58.0,51.0,54.8013966480447
86.0,87.0,6.299999999999997
86.0,85.0,63.2013966480447
118.0,75.0,91.20139664804469
110.0,111.0,90.5013966480447
31.0,17.0,63.901396648044695
31.0,29.0,16.799999999999997
18.0,17.0,133.2013966480447
30.0,17.0,348.10139664804467
30.0,38.0,129.7013966480447
68.0,81.0,12.6
105.0,107.0,54.8013966480447
13.0,15.0,40.1013966480447
13.0,11.0,84.9013966480447
5.0,11.0,143.0013966480447
5.0,4.0,187.10139664804467
4.0,11.0,90.30000000000001
75.0,77.0,37.099999999999994
75.0,70.0,3.5
17.0,15.0,166.8013966480447
47.0,46.0,77.20139664804469
46.0,48.0,58.3013966480447
83.0,85.0,43.4
