node1,node2,capacity,reactance,cost_fixed,cost_linear
25,28,0,1,0.1,0.9
7,30,0,1,0.1,0.9
12,29,0,1,0.1,0.9
5,12,0,1,0.1,0.9
19,27,0,1,0.1,0.9
1,4,0,1,0.1,0.9
4,26,0,1,0.1,0.9
15,22,0,1,0.1,0.9
5,17,0,1,0.1,0.9
1,25,0,1,0.1,0.9
17,30,0,1,0.1,0.9
12,22,0,1,0.1,0.9
17,29,0,1,0.1,0.9
11,14,0,1,0.1,0.9
2,22,0,1,0.1,0.9
1,2,45,0.06,0,0
1,3,33,0.19,0,0
2,4,29,0.17,0,0
3,4,29,0.04,0,0
2,5,24,0.2,0,0
2,6,34,0.18,0,0
4,6,34,0.04,0,0
5,7,24,0.12,0,0
6,7,17,0.08,0,0
6,8,42,0.04,0,0
6,9,10,0.21,0,0
6,10,6,0.56,0,0
9,11,0,0.21,0,0
9,10,10,0.11,0,0
4,12,11,0.26,0,0
12,13,39,0.14,0,0
12,14,10,0.26,0,0
12,15,12,0.13,0,0
12,16,11,0.2,0,0
14,15,4,0.2,0,0
16,17,4,0.19,0,0
15,18,13,0.22,0,0
18,19,8,0.13,0,0
19,20,11,0.07,0,0
10,20,15,0.21,0,0
10,17,12,0.08,0,0
10,21,11,0.07,0,0
10,22,11,0.15,0,0
21,22,41,0.02,0,0
15,23,19,0.2,0,0
22,24,3,0.18,0,0
23,24,7,0.27,0,0
24,25,12,0.33,0,0
25,26,7,0.38,0,0
25,27,17,0.21,0,0
27,28,15,0.4,0,0
27,29,11,0.42,0,0
27,30,13,0.6,0,0
29,30,7,0.45,0,0
8,28,11,0.2,0,0
6,28,6,0.06,0,0
