node,demand,gen_capacity,gen_upgrade_ub,gen_upgrade_cost_fixed,gen_upgrade_cost_linear
1,0,80,0,0,0
2,21.7,80,0,0,0
3,2.4,0,0,0,0
4,7.6,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,22.8,0,0,0,0
8,30,0,0,0,0
9,0,0,0,0,0
10,5.8,0,0,0,0
11,0,0,0,0,0
12,11.2,0,0,0,0
13,0,40,0,0,0
14,6.2,0,0,0,0
15,8.2,0,0,0,0
16,3.5,0,0,0,0
17,9,0,0,0,0
18,3.2,0,0,0,0
19,9.5,0,0,0,0
20,2.2,0,0,0,0
21,17.5,0,0,0,0
22,0,50,0,0,0
23,3.2,30,0,0,0
24,8.7,0,0,0,0
25,0,0,0,0,0
26,3.5,0,0,0,0
27,0,55,0,0,0
28,0,0,0,0,0
29,2.4,0,0,0,0
30,10.6,0,0,0,0
