node1,node2,capacity,susceptance,cost_fixed,cost_linear
1.0,7001.0,981.0,1.0,0.0,0.1
1.0,3.0,90.0,1.0,0.0,0.1
1.0,5.0,867.0,1.0,0.0,0.1
2.0,8.0,739.0,1.0,0.0,0.1
2.0,7002.0,1256.0,1.0,0.0,0.1
2.0,3.0,57.0,1.0,0.0,0.1
2.0,6.0,329.0,1.0,0.0,0.1
3.0,4.0,1251.0,1.0,0.0,0.1
3.0,7.0,697.0,1.0,0.0,0.1
3.0,19.0,305.0,1.0,0.0,0.1
3.0,150.0,240.0,1.0,0.0,0.1
3.0,7003.0,2569.0,1.0,0.0,0.1
4.0,16.0,1251.0,1.0,0.0,0.1
5.0,7.0,192.0,1.0,0.0,0.1
5.0,9.0,261.0,1.0,0.0,0.1
6.0,7.0,58.0,1.0,0.0,0.1
7.0,12.0,448.0,1.0,0.0,0.1
7.0,131.0,116.0,1.0,0.0,0.1
8.0,11.0,27.0,1.0,0.0,0.1
8.0,14.0,558.0,1.0,0.0,0.1
9.0,11.0,43.0,1.0,0.0,0.1
10.0,11.0,45.0,1.0,0.0,0.1
10.0,12.0,301.0,1.0,0.0,0.1
11.0,7011.0,506.0,1.0,0.0,0.1
11.0,13.0,344.0,1.0,0.0,0.1
12.0,7012.0,800.0,1.0,0.0,0.1
12.0,21.0,946.0,1.0,0.0,0.1
13.0,20.0,210.0,1.0,0.0,0.1
14.0,15.0,181.0,1.0,0.0,0.1
15.0,37.0,53.0,1.0,0.0,0.1
15.0,16.0,628.0,1.0,0.0,0.1
15.0,17.0,401.0,1.0,0.0,0.1
15.0,89.0,35.0,1.0,0.0,0.1
15.0,90.0,29.0,1.0,0.0,0.1
16.0,42.0,610.0,1.0,0.0,0.1
17.0,7017.0,873.0,1.0,0.0,0.1
19.0,21.0,33.0,1.0,0.0,0.1
19.0,87.0,334.0,1.0,0.0,0.1
20.0,27.0,63.0,1.0,0.0,0.1
20.0,22.0,14.0,1.0,0.0,0.1
20.0,21.0,1178.0,1.0,0.0,0.1
21.0,24.0,446.0,1.0,0.0,0.1
22.0,23.0,196.0,1.0,0.0,0.1
23.0,24.0,153.0,1.0,0.0,0.1
23.0,25.0,276.0,1.0,0.0,0.1
23.0,7023.0,375.0,1.0,0.0,0.1
24.0,7024.0,865.0,1.0,0.0,0.1
24.0,319.0,263.0,1.0,0.0,0.1
25.0,26.0,169.0,1.0,0.0,0.1
26.0,320.0,6.0,1.0,0.0,0.1
26.0,27.0,96.0,1.0,0.0,0.1
33.0,40.0,114.0,1.0,0.0,0.1
33.0,41.0,106.0,1.0,0.0,0.1
33.0,34.0,342.0,1.0,0.0,0.1
33.0,38.0,211.0,1.0,0.0,0.1
34.0,42.0,342.0,1.0,0.0,0.1
35.0,72.0,109.0,1.0,0.0,0.1
35.0,36.0,155.0,1.0,0.0,0.1
35.0,76.0,165.0,1.0,0.0,0.1
35.0,77.0,120.0,1.0,0.0,0.1
36.0,88.0,155.0,1.0,0.0,0.1
37.0,38.0,65.0,1.0,0.0,0.1
37.0,40.0,54.0,1.0,0.0,0.1
37.0,9001.0,127.0,1.0,0.0,0.1
37.0,49.0,13.0,1.0,0.0,0.1
37.0,41.0,112.0,1.0,0.0,0.1
37.0,89.0,14.0,1.0,0.0,0.1
37.0,90.0,20.0,1.0,0.0,0.1
38.0,43.0,115.0,1.0,0.0,0.1
38.0,41.0,190.0,1.0,0.0,0.1
39.0,42.0,1162.0,1.0,0.0,0.1
39.0,7039.0,1162.0,1.0,0.0,0.1
40.0,48.0,63.0,1.0,0.0,0.1
41.0,42.0,682.0,1.0,0.0,0.1
41.0,49.0,27.0,1.0,0.0,0.1
41.0,51.0,54.0,1.0,0.0,0.1
42.0,46.0,742.0,1.0,0.0,0.1
43.0,48.0,2.0,1.0,0.0,0.1
43.0,44.0,55.0,1.0,0.0,0.1
43.0,53.0,78.0,1.0,0.0,0.1
44.0,7044.0,90.0,1.0,0.0,0.1
44.0,45.0,613.0,1.0,0.0,0.1
44.0,54.0,15.0,1.0,0.0,0.1
44.0,47.0,195.0,1.0,0.0,0.1
45.0,74.0,280.0,1.0,0.0,0.1
45.0,60.0,393.0,1.0,0.0,0.1
45.0,46.0,500.0,1.0,0.0,0.1
46.0,81.0,238.0,1.0,0.0,0.1
47.0,73.0,21.0,1.0,0.0,0.1
47.0,113.0,82.0,1.0,0.0,0.1
48.0,107.0,29.0,1.0,0.0,0.1
49.0,51.0,5.0,1.0,0.0,0.1
49.0,7049.0,164.0,1.0,0.0,0.1
562.0,74.0,116.0,1.0,0.0,0.1
51.0,52.0,60.0,1.0,0.0,0.1
52.0,55.0,78.0,1.0,0.0,0.1
53.0,54.0,78.0,1.0,0.0,0.1
54.0,55.0,87.0,1.0,0.0,0.1
55.0,57.0,109.0,1.0,0.0,0.1
55.0,7055.0,108.0,1.0,0.0,0.1
57.0,7057.0,359.0,1.0,0.0,0.1
57.0,58.0,13.0,1.0,0.0,0.1
57.0,63.0,39.0,1.0,0.0,0.1
58.0,59.0,45.0,1.0,0.0,0.1
59.0,61.0,536.0,1.0,0.0,0.1
60.0,62.0,398.0,1.0,0.0,0.1
61.0,7061.0,846.0,1.0,0.0,0.1
61.0,62.0,204.0,1.0,0.0,0.1
62.0,64.0,326.0,1.0,0.0,0.1
62.0,144.0,78.0,1.0,0.0,0.1
62.0,7062.0,855.0,1.0,0.0,0.1
63.0,64.0,320.0,1.0,0.0,0.1
63.0,526.0,340.0,1.0,0.0,0.1
9072.0,9007.0,3.0,1.0,0.0,0.1
69.0,201.0,103.0,1.0,0.0,0.1
69.0,211.0,67.0,1.0,0.0,0.1
69.0,79.0,37.0,1.0,0.0,0.1
70.0,528.0,64.0,1.0,0.0,0.1
70.0,71.0,190.0,1.0,0.0,0.1
71.0,72.0,62.0,1.0,0.0,0.1
71.0,73.0,86.0,1.0,0.0,0.1
71.0,7071.0,310.0,1.0,0.0,0.1
72.0,531.0,32.0,1.0,0.0,0.1
72.0,77.0,115.0,1.0,0.0,0.1
73.0,79.0,132.0,1.0,0.0,0.1
73.0,76.0,53.0,1.0,0.0,0.1
73.0,74.0,428.0,1.0,0.0,0.1
74.0,88.0,267.0,1.0,0.0,0.1
76.0,77.0,133.0,1.0,0.0,0.1
77.0,609.0,69.0,1.0,0.0,0.1
77.0,78.0,572.0,1.0,0.0,0.1
77.0,80.0,8.0,1.0,0.0,0.1
77.0,552.0,25.0,1.0,0.0,0.1
78.0,84.0,825.0,1.0,0.0,0.1
78.0,79.0,252.0,1.0,0.0,0.1
79.0,211.0,27.0,1.0,0.0,0.1
80.0,211.0,71.0,1.0,0.0,0.1
81.0,88.0,423.0,1.0,0.0,0.1
81.0,194.0,188.0,1.0,0.0,0.1
81.0,195.0,2.0,1.0,0.0,0.1
85.0,99.0,166.0,1.0,0.0,0.1
85.0,86.0,166.0,1.0,0.0,0.1
86.0,323.0,34.0,1.0,0.0,0.1
86.0,102.0,74.0,1.0,0.0,0.1
86.0,87.0,207.0,1.0,0.0,0.1
87.0,94.0,118.0,1.0,0.0,0.1
89.0,91.0,79.0,1.0,0.0,0.1
90.0,92.0,140.0,1.0,0.0,0.1
91.0,94.0,30.0,1.0,0.0,0.1
91.0,97.0,205.0,1.0,0.0,0.1
92.0,105.0,297.0,1.0,0.0,0.1
92.0,103.0,169.0,1.0,0.0,0.1
94.0,97.0,12.0,1.0,0.0,0.1
97.0,100.0,83.0,1.0,0.0,0.1
97.0,102.0,81.0,1.0,0.0,0.1
97.0,103.0,42.0,1.0,0.0,0.1
98.0,100.0,4.0,1.0,0.0,0.1
98.0,102.0,24.0,1.0,0.0,0.1
99.0,107.0,94.0,1.0,0.0,0.1
99.0,108.0,62.0,1.0,0.0,0.1
99.0,109.0,50.0,1.0,0.0,0.1
99.0,110.0,84.0,1.0,0.0,0.1
100.0,102.0,79.0,1.0,0.0,0.1
102.0,104.0,81.0,1.0,0.0,0.1
103.0,105.0,53.0,1.0,0.0,0.1
104.0,322.0,6.0,1.0,0.0,0.1
104.0,108.0,55.0,1.0,0.0,0.1
105.0,107.0,136.0,1.0,0.0,0.1
105.0,110.0,96.0,1.0,0.0,0.1
108.0,324.0,57.0,1.0,0.0,0.1
109.0,113.0,21.0,1.0,0.0,0.1
109.0,114.0,12.0,1.0,0.0,0.1
109.0,110.0,12.0,1.0,0.0,0.1
110.0,112.0,19.0,1.0,0.0,0.1
112.0,114.0,26.0,1.0,0.0,0.1
114.0,207.0,56.0,1.0,0.0,0.1
115.0,121.0,150.0,1.0,0.0,0.1
115.0,122.0,150.0,1.0,0.0,0.1
116.0,120.0,153.0,1.0,0.0,0.1
116.0,124.0,153.0,1.0,0.0,0.1
117.0,118.0,1180.0,1.0,0.0,0.1
117.0,159.0,1180.0,1.0,0.0,0.1
118.0,1201.0,61.0,1.0,0.0,0.1
118.0,121.0,105.0,1.0,0.0,0.1
118.0,119.0,1377.0,1.0,0.0,0.1
119.0,120.0,1616.0,1.0,0.0,0.1
119.0,121.0,1249.0,1.0,0.0,0.1
119.0,1190.0,226.0,1.0,0.0,0.1
120.0,1200.0,225.0,1.0,0.0,0.1
120.0,1201.0,61.0,1.0,0.0,0.1
122.0,123.0,40.0,1.0,0.0,0.1
122.0,125.0,36.0,1.0,0.0,0.1
122.0,157.0,442.0,1.0,0.0,0.1
123.0,124.0,156.0,1.0,0.0,0.1
123.0,125.0,18.0,1.0,0.0,0.1
124.0,160.0,69.0,1.0,0.0,0.1
125.0,126.0,897.0,1.0,0.0,0.1
126.0,129.0,221.0,1.0,0.0,0.1
126.0,132.0,307.0,1.0,0.0,0.1
126.0,169.0,127.0,1.0,0.0,0.1
126.0,157.0,144.0,1.0,0.0,0.1
126.0,158.0,168.0,1.0,0.0,0.1
126.0,127.0,65.0,1.0,0.0,0.1
127.0,128.0,340.0,1.0,0.0,0.1
127.0,168.0,339.0,1.0,0.0,0.1
127.0,134.0,243.0,1.0,0.0,0.1
128.0,130.0,513.0,1.0,0.0,0.1
128.0,133.0,170.0,1.0,0.0,0.1
129.0,130.0,503.0,1.0,0.0,0.1
129.0,133.0,280.0,1.0,0.0,0.1
130.0,131.0,116.0,1.0,0.0,0.1
130.0,132.0,591.0,1.0,0.0,0.1
130.0,167.0,605.0,1.0,0.0,0.1
130.0,168.0,516.0,1.0,0.0,0.1
130.0,150.0,239.0,1.0,0.0,0.1
130.0,151.0,364.0,1.0,0.0,0.1
130.0,7130.0,2752.0,1.0,0.0,0.1
132.0,170.0,274.0,1.0,0.0,0.1
133.0,168.0,165.0,1.0,0.0,0.1
133.0,169.0,213.0,1.0,0.0,0.1
133.0,171.0,1621.0,1.0,0.0,0.1
133.0,137.0,1221.0,1.0,0.0,0.1
134.0,184.0,147.0,1.0,0.0,0.1
134.0,135.0,98.0,1.0,0.0,0.1
135.0,136.0,479.0,1.0,0.0,0.1
136.0,152.0,726.0,1.0,0.0,0.1
136.0,137.0,114.0,1.0,0.0,0.1
137.0,163.0,375.0,1.0,0.0,0.1
137.0,140.0,786.0,1.0,0.0,0.1
137.0,181.0,184.0,1.0,0.0,0.1
137.0,186.0,1039.0,1.0,0.0,0.1
137.0,188.0,926.0,1.0,0.0,0.1
138.0,188.0,1211.0,1.0,0.0,0.1
138.0,181.0,1083.0,1.0,0.0,0.1
139.0,7139.0,1613.0,1.0,0.0,0.1
139.0,172.0,51.0,1.0,0.0,0.1
139.0,182.0,223.0,1.0,0.0,0.1
140.0,141.0,159.0,1.0,0.0,0.1
140.0,142.0,2.0,1.0,0.0,0.1
140.0,145.0,27.0,1.0,0.0,0.1
140.0,146.0,96.0,1.0,0.0,0.1
140.0,147.0,127.0,1.0,0.0,0.1
140.0,182.0,320.0,1.0,0.0,0.1
141.0,146.0,70.0,1.0,0.0,0.1
141.0,174.0,209.0,1.0,0.0,0.1
142.0,175.0,380.0,1.0,0.0,0.1
142.0,143.0,508.0,1.0,0.0,0.1
143.0,144.0,79.0,1.0,0.0,0.1
143.0,145.0,257.0,1.0,0.0,0.1
143.0,148.0,484.0,1.0,0.0,0.1
143.0,149.0,52.0,1.0,0.0,0.1
145.0,180.0,658.0,1.0,0.0,0.1
145.0,146.0,323.0,1.0,0.0,0.1
145.0,149.0,163.0,1.0,0.0,0.1
146.0,147.0,314.0,1.0,0.0,0.1
148.0,178.0,231.0,1.0,0.0,0.1
148.0,179.0,111.0,1.0,0.0,0.1
151.0,170.0,363.0,1.0,0.0,0.1
152.0,153.0,9.0,1.0,0.0,0.1
153.0,161.0,247.0,1.0,0.0,0.1
153.0,183.0,194.0,1.0,0.0,0.1
154.0,156.0,59.0,1.0,0.0,0.1
154.0,183.0,99.0,1.0,0.0,0.1
155.0,161.0,166.0,1.0,0.0,0.1
155.0,164.0,518.0,1.0,0.0,0.1
155.0,156.0,232.0,1.0,0.0,0.1
157.0,159.0,865.0,1.0,0.0,0.1
158.0,160.0,69.0,1.0,0.0,0.1
158.0,159.0,237.0,1.0,0.0,0.1
162.0,164.0,905.0,1.0,0.0,0.1
162.0,165.0,1096.0,1.0,0.0,0.1
163.0,164.0,375.0,1.0,0.0,0.1
165.0,166.0,1105.0,1.0,0.0,0.1
166.0,7166.0,1106.0,1.0,0.0,0.1
167.0,169.0,84.0,1.0,0.0,0.1
172.0,173.0,61.0,1.0,0.0,0.1
172.0,174.0,70.0,1.0,0.0,0.1
173.0,176.0,115.0,1.0,0.0,0.1
