node,demand,gen_capacity,gen_upgrade_ub,gen_upgrade_cost_fixed,gen_upgrade_cost_linear
1.0,90.0,0,0,0,0
2.0,56.0,0,0,0,0
3.0,20.0,0,0,0,0
4.0,0.0,0,0,0,0
5.0,353.0,0,0,0,0
6.0,120.0,0,0,0,0
7.0,0.0,0,0,0,0
8.0,63.0,0.0,0,0,0
9.0,96.0,0,0,0,0
10.0,153.0,0.0,0,0,0
11.0,83.0,0,0,0,0
12.0,0.0,0,0,0,0
13.0,58.0,0,0,0,0
14.0,160.0,0,0,0,0
15.0,126.7,0,0,0,0
16.0,0.0,0,0,0,0
17.0,561.0,0,0,0,0
19.0,0.0,0,0,0,0
20.0,605.0,12.0,0,0,0
21.0,77.0,0,0,0,0
22.0,81.0,0,0,0,0
23.0,21.0,0,0,0,0
24.0,0.0,0,0,0,0
25.0,45.0,0,0,0,0
26.0,28.0,0,0,0,0
27.0,69.0,0,0,0,0
33.0,55.0,0,0,0,0
34.0,0.0,0,0,0,0
35.0,0.0,0,0,0,0
36.0,0.0,0,0,0,0
37.0,85.0,0,0,0,0
38.0,155.0,0,0,0,0
39.0,0.0,0,0,0,0
40.0,46.0,0,0,0,0
41.0,86.0,0,0,0,0
42.0,0.0,0,0,0,0
43.0,39.0,0,0,0,0
44.0,195.0,0,0,0,0
45.0,0.0,0,0,0,0
46.0,0.0,0,0,0,0
47.0,58.0,0,0,0,0
48.0,41.0,0,0,0,0
49.0,92.0,0,0,0,0
562.0,50.5,0,0,0,0
51.0,0,0,0,0,0
52.0,61.0,0,0,0,0
53.0,69.0,0,0,0,0
54.0,10.0,0,0,0,0
55.0,22.0,0,0,0,0
57.0,98.0,0,0,0,0
58.0,14.0,0,0,0,0
59.0,218.0,0,0,0,0
60.0,0.0,0,0,0,0
61.0,227.0,0,0,0,0
62.0,0.0,0,0,0,0
63.0,70.0,63.0,0,0,0
64.0,0.0,0,0,0,0
9072.0,1.02,0,0,0,0
69.0,0.0,0,0,0,0
70.0,56.0,0,0,0,0
71.0,116.0,0,0,0,0
72.0,57.0,0,0,0,0
73.0,224.0,0,0,0,0
74.0,0.0,0,0,0,0
76.0,208.0,100.0,0,0,0
77.0,74.0,0,0,0,0
78.0,0.0,0,0,0,0
79.0,48.0,0,0,0,0
80.0,28.0,0,0,0,0
81.0,0.0,0,0,0,0
84.0,37.0,404.0,0,0,0
85.0,0.0,0,0,0,0
86.0,0.0,0,0,0,0
87.0,0.0,0,0,0,0
88.0,0.0,0,0,0,0
89.0,44.200000000000003,0,0,0,0
90.0,66.0,0,0,0,0
91.0,17.399999999999999,158.0,0,0,0
92.0,15.800000000000001,290.0,0,0,0
94.0,60.299999999999997,0,0,0,0
97.0,39.899999999999999,0,0,0,0
98.0,66.700000000000003,76.0,0,0,0
99.0,83.5,0,0,0,0
100.0,0.0,0,0,0,0
102.0,77.799999999999997,0,0,0,0
103.0,32.0,0,0,0,0
104.0,8.5999999999999996,0,0,0,0
105.0,49.600000000000001,0,0,0,0
107.0,4.5999999999999996,0,0,0,0
108.0,112.09999999999999,142.0,0,0,0
109.0,30.699999999999999,0,0,0,0
110.0,63.0,0,0,0,0
112.0,19.600000000000001,0,0,0,0
113.0,26.199999999999999,0,0,0,0
114.0,18.199999999999999,0,0,0,0
115.0,0.0,0,0,0,0
116.0,0.0,0,0,0,0
117.0,0.0,0,0,0,0
118.0,14.1,0,0,0,0
119.0,0.0,1986.0,0,0,0
120.0,777.0,0,0,0,0
121.0,535.0,0,0,0,0
122.0,229.09999999999999,0,0,0,0
123.0,78.0,0,0,0,0
124.0,276.39999999999998,250.0,0,0,0
125.0,514.79999999999995,94.0,0,0,0
126.0,57.899999999999999,0,0,0,0
127.0,380.80000000000001,0,0,0,0
128.0,0.0,0,0,0,0
129.0,0.0,0,0,0,0
130.0,0.0,0,0,0,0
131.0,0.0,0,0,0,0
132.0,0.0,0,0,0,0
133.0,0.0,0,0,0,0
134.0,0.0,0,0,0,0
135.0,169.19999999999999,0,0,0,0
136.0,55.200000000000003,0,0,0,0
137.0,273.60000000000002,0,0,0,0
138.0,1019.2,2.0,0,0,0
139.0,595.0,0,0,0,0
140.0,387.69999999999999,0,0,0,0
141.0,145.0,281.0,0,0,0
142.0,56.5,0,0,0,0
143.0,89.5,696.0,0,0,0
144.0,0.0,0,0,0,0
145.0,24.0,0,0,0,0
146.0,0.0,84.0,0,0,0
147.0,0.0,217.0,0,0,0
148.0,63.0,0,0,0,0
149.0,0.0,103.0,0,0,0
150.0,0.0,0,0,0,0
151.0,0.0,0,0,0,0
152.0,17.0,372.0,0,0,0
153.0,0.0,216.0,0,0,0
154.0,70.0,0,0,0,0
155.0,200.0,0,0,0,0
156.0,75.0,0.0,0,0,0
157.0,123.5,0,0,0,0
158.0,0.0,0,0,0,0
159.0,33.0,0,0,0,0
160.0,0.0,0,0,0,0
161.0,35.0,0,0,0,0
162.0,85.0,0,0,0,0
163.0,0.0,0,0,0,0
164.0,0.0,0,0,0,0
165.0,0.0,0,0,0,0
166.0,0.0,0,0,0,0
167.0,299.89999999999998,0,0,0,0
168.0,0.0,0,0,0,0
169.0,0.0,0,0,0,0
170.0,481.80000000000001,205.0,0,0,0
171.0,763.60000000000002,45.0,0,0,0
172.0,26.5,0,0,0,0
173.0,163.5,0,0,0,0
174.0,0.0,0,0,0,0
175.0,176.0,0,0,0,0
176.0,5.0,228.0,0,0,0
177.0,28.0,84.0,0,0,0
178.0,427.39999999999998,0,0,0,0
179.0,74.0,0,0,0,0
180.0,69.5,0,0,0,0
181.0,73.400000000000006,0,0,0,0
182.0,240.69999999999999,0,0,0,0
183.0,40.0,0,0,0,0
184.0,136.80000000000001,0,0,0,0
185.0,0.0,204.0,0,0,0
186.0,59.799999999999997,1200.0,0,0,0
187.0,59.799999999999997,1200.0,0,0,0
188.0,182.59999999999999,0,0,0,0
189.0,7.0,0,0,0,0
190.0,0.0,508.0,0,0,0
191.0,489.0,1973.0,0,0,0
192.0,800.0,0,0,0,0
193.0,0.0,0,0,0,0
194.0,0.0,0,0,0,0
195.0,0.0,0,0,0,0
196.0,10.0,0,0,0,0
197.0,43.0,0,0,0,0
198.0,64.0,441.0,0,0,0
199.0,35.0,0,0,0,0
200.0,27.0,0,0,0,0
201.0,41.0,0,0,0,0
202.0,38.0,0,0,0,0
203.0,42.0,0,0,0,0
204.0,72.0,0,0,0,0
205.0,0.0,0,0,0,0
206.0,12.0,0,0,0,0
207.0,0,0,0,0,0
208.0,7.0,0,0,0,0
209.0,38.0,0,0,0,0
210.0,0.0,0,0,0,0
211.0,96.0,0,0,0,0
212.0,0.0,0,0,0,0
213.0,0.0,275.0,0,0,0
214.0,22.0,0,0,0,0
215.0,47.0,0,0,0,0
216.0,176.0,0,0,0,0
217.0,100.0,0,0,0,0
218.0,131.0,0,0,0,0
219.0,0.0,0,0,0,0
220.0,285.0,109.0,0,0,0
221.0,171.0,488.0,0,0,0
222.0,328.0,270.0,0,0,0
223.0,428.0,0,0,0,0
224.0,173.0,0,0,0,0
225.0,410.0,0,0,0,0
226.0,0.0,0,0,0,0
227.0,538.0,329.0,0,0,0
228.0,223.0,0,0,0,0
229.0,96.0,0,0,0,0
230.0,0.0,361.0,0,0,0
231.0,159.0,0,0,0,0
232.0,448.0,0,0,0,0
233.0,404.0,326.0,0,0,0
234.0,572.0,0,0,0,0
235.0,269.0,0,0,0,0
236.0,0.0,635.0,0,0,0
237.0,0.0,0,0,0,0
238.0,255.0,266.0,0,0,0
239.0,0.0,579.0,0,0,0
240.0,0.0,0,0,0,0
241.0,0.0,613.0,0,0,0
242.0,0.0,177.0,0,0,0
243.0,8.0,86.0,0,0,0
244.0,0.0,0,0,0,0
245.0,61.0,0,0,0,0
246.0,77.0,0,0,0,0
247.0,61.0,0,0,0,0
248.0,29.0,0,0,0,0
249.0,29.0,0,0,0,0
250.0,0,0,0,0,0
281.0,0,0,0,0,0
9001.0,0.0,0,0,0,0
9002.0,4.2000000000000002,29.0,0,0,0
9003.0,2.71,0,0,0,0
9004.0,0.85999999999999999,0,0,0,0
9005.0,0.0,0,0,0,0
9006.0,0.0,0,0,0,0
9007.0,0.0,0,0,0,0
9012.0,0.0,0,0,0,0
9021.0,4.75,0,0,0,0
9022.0,1.53,0,0,0,0
319.0,115.8,0,0,0,0
320.0,2.3999999999999999,0,0,0,0
9025.0,0.45000000000000001,0,0,0,0
322.0,2.3999999999999999,0,0,0,0
323.0,0,0,0,0,0
324.0,24.699999999999999,0,0,0,0
9031.0,1.8400000000000001,0,0,0,0
9032.0,1.3899999999999999,0,0,0,0
9033.0,1.8899999999999999,0,0,0,0
9034.0,1.55,0,0,0,0
9035.0,1.6599999999999999,0,0,0,0
9036.0,3.0299999999999998,0,0,0,0
9037.0,1.8600000000000001,0,0,0,0
9038.0,2.5800000000000001,0,0,0,0
9041.0,1.01,0,0,0,0
9042.0,0.81000000000000005,0,0,0,0
9043.0,1.6000000000000001,0,0,0,0
9044.0,0.0,0,0,0,0
7001.0,0.0,467.0,0,0,0
7002.0,0.0,623.0,0,0,0
7003.0,0.0,1210.0,0,0,0
9052.0,30.0,0,0,0,0
9053.0,26.48,51.0,0,0,0
9054.0,0.0,54.0,0,0,0
9055.0,0.0,9.0,0,0,0
7011.0,0.0,234.0,0,0,0
7012.0,0.0,372.0,0,0,0
7057.0,0.0,165.0,0,0,0
7017.0,0.0,388.0,0,0,0
7023.0,0.0,185.0,0,0,0
7024.0,0.0,410.0,0,0,0
609.0,29.600000000000001,0,0,0,0
9023.0,0.0,0,0,0,0
7039.0,0.0,517.0,0,0,0
9024.0,1.3500000000000001,0,0,0,0
7044.0,0.0,40.0,0,0,0
7049.0,0.0,73.0,0,0,0
