scenario,node1,node2
0,190.0,229.0
1,43.0,44.0
2,122.0,157.0
2,37.0,38.0
3,145.0,146.0
3,151.0,170.0
4,135.0,136.0
4,85.0,86.0
4,98.0,100.0
4,198.0,211.0
4,126.0,132.0
5,7.0,12.0
6,48.0,107.0
7,148.0,179.0
8,8.0,11.0
9,231.0,237.0
9,129.0,133.0
9,192.0,225.0
9,36.0,88.0
9,78.0,84.0
9,218.0,220.0
10,245.0,247.0
10,9006.0,9007.0
10,198.0,202.0
10,63.0,64.0
10,163.0,164.0
10,140.0,146.0
10,100.0,102.0
10,72.0,77.0
10,11.0,7011.0
10,26.0,27.0
10,33.0,34.0
10,122.0,125.0
10,146.0,147.0
11,112.0,114.0
11,86.0,102.0
11,118.0,121.0
11,218.0,219.0
12,99.0,108.0
13,228.0,234.0
13,9001.0,9012.0
13,38.0,43.0
13,217.0,218.0
14,187.0,188.0
14,224.0,225.0
15,98.0,102.0
15,9005.0,9053.0
15,235.0,238.0
15,74.0,88.0
15,214.0,215.0
16,99.0,109.0
16,139.0,182.0
16,9006.0,9007.0
16,8.0,14.0
17,14.0,15.0
17,37.0,9001.0
17,98.0,100.0
17,137.0,181.0
17,162.0,164.0
17,130.0,132.0
18,197.0,198.0
18,135.0,136.0
18,133.0,168.0
18,186.0,188.0
18,24.0,7024.0
18,247.0,248.0
19,123.0,124.0
20,247.0,248.0
21,152.0,153.0
21,219.0,237.0
21,143.0,144.0
21,20.0,27.0
21,15.0,90.0
22,20.0,22.0
22,126.0,169.0
22,80.0,211.0
22,237.0,241.0
22,44.0,54.0
22,48.0,107.0
22,140.0,146.0
22,116.0,120.0
22,69.0,211.0
22,35.0,72.0
22,217.0,218.0
22,20.0,27.0
22,234.0,235.0
22,247.0,248.0
22,33.0,40.0
23,44.0,7044.0
23,5.0,9.0
23,25.0,26.0
23,196.0,210.0
23,78.0,84.0
23,72.0,77.0
23,35.0,36.0
23,137.0,188.0
24,9005.0,9051.0
24,127.0,168.0
24,109.0,114.0
24,135.0,136.0
25,7.0,12.0
25,9001.0,9005.0
25,60.0,62.0
25,186.0,188.0
26,71.0,73.0
26,7.0,131.0
26,115.0,122.0
26,175.0,176.0
26,2.0,7002.0
26,37.0,90.0
26,21.0,24.0
26,105.0,110.0
26,228.0,234.0
27,145.0,146.0
27,220.0,238.0
27,19.0,21.0
27,9003.0,9006.0
27,126.0,127.0
27,198.0,209.0
27,11.0,7011.0
27,86.0,102.0
28,224.0,225.0
28,201.0,204.0
28,134.0,135.0
29,37.0,40.0
29,87.0,94.0
30,130.0,150.0
30,22.0,23.0
30,137.0,140.0
30,189.0,209.0
30,143.0,149.0
31,206.0,207.0
31,141.0,146.0
31,23.0,24.0
31,99.0,107.0
32,81.0,195.0
32,193.0,196.0
32,143.0,148.0
32,73.0,76.0
32,140.0,142.0
32,22.0,23.0
32,244.0,246.0
32,4.0,16.0
32,14.0,15.0
32,173.0,174.0
32,198.0,209.0
32,246.0,247.0
32,105.0,107.0
32,247.0,248.0
32,126.0,132.0
32,17.0,7017.0
32,69.0,79.0
32,123.0,125.0
33,37.0,38.0
33,219.0,237.0
33,126.0,158.0
33,41.0,42.0
34,130.0,151.0
34,125.0,126.0
34,3.0,150.0
34,41.0,51.0
34,141.0,146.0
34,81.0,88.0
34,198.0,203.0
34,73.0,79.0
34,199.0,200.0
34,136.0,152.0
34,76.0,77.0
34,71.0,73.0
34,99.0,109.0
34,15.0,37.0
34,196.0,197.0
34,237.0,241.0
34,145.0,180.0
34,137.0,186.0
34,196.0,210.0
35,195.0,212.0
35,173.0,175.0
35,37.0,40.0
35,137.0,181.0
36,158.0,160.0
36,15.0,89.0
36,73.0,74.0
36,72.0,77.0
36,114.0,207.0
36,1.0,3.0
36,44.0,54.0
36,221.0,223.0
36,199.0,210.0
36,2.0,3.0
36,140.0,182.0
37,61.0,62.0
37,122.0,125.0
37,109.0,114.0
37,195.0,219.0
38,10.0,11.0
38,43.0,53.0
39,175.0,179.0
39,235.0,238.0
39,126.0,158.0
39,73.0,79.0
40,234.0,236.0
40,15.0,37.0
40,217.0,219.0
40,178.0,180.0
40,217.0,218.0
40,234.0,235.0
40,193.0,208.0
40,158.0,160.0
40,19.0,87.0
40,137.0,140.0
40,5.0,7.0
40,110.0,112.0
40,15.0,90.0
40,140.0,146.0
40,4.0,16.0
40,189.0,208.0
40,154.0,156.0
40,9005.0,9051.0
40,33.0,40.0
40,193.0,205.0
40,187.0,188.0
40,228.0,231.0
40,79.0,211.0
41,62.0,7062.0
41,42.0,46.0
41,26.0,27.0
41,48.0,107.0
41,15.0,90.0
41,117.0,159.0
42,90.0,92.0
43,55.0,7055.0
43,162.0,165.0
43,61.0,62.0
43,1.0,5.0
43,216.0,217.0
44,91.0,97.0
45,198.0,210.0
45,9005.0,9051.0
45,44.0,7044.0
45,15.0,90.0
45,71.0,7071.0
45,132.0,170.0
45,162.0,164.0
45,158.0,159.0
45,175.0,179.0
45,130.0,132.0
45,243.0,244.0
45,76.0,77.0
46,35.0,77.0
46,165.0,166.0
46,127.0,134.0
46,10.0,11.0
47,72.0,77.0
47,122.0,123.0
47,98.0,100.0
47,43.0,44.0
47,57.0,58.0
48,20.0,27.0
48,69.0,79.0
48,59.0,61.0
48,137.0,163.0
48,200.0,248.0
48,69.0,201.0
48,143.0,144.0
48,77.0,78.0
48,21.0,24.0
48,99.0,108.0
49,76.0,77.0
49,146.0,147.0
49,115.0,122.0
49,189.0,210.0
49,162.0,165.0
49,154.0,183.0
49,122.0,123.0
