node1,node2,capacity,reactance,cost_fixed,cost_linear
1.0,16.0,77.0,1.0,0.0,0.1
1.0,17.0,109.0,1.0,0.0,0.1
1.0,2.0,104.0,1.0,0.0,0.1
1.0,15.0,116.0,1.0,0.0,0.1
2.0,3.0,87.0,1.0,0.0,0.1
3.0,4.0,16.0,1.0,0.0,0.1
3.0,15.0,111.0,1.0,0.0,0.1
4.0,18.0,73.0,1.0,0.0,0.1
4.0,5.0,32.0,1.0,0.0,0.1
4.0,6.0,57.0,1.0,0.0,0.1
5.0,6.0,62.0,1.0,0.0,0.1
6.0,8.0,94.0,1.0,0.0,0.1
6.0,7.0,30.0,1.0,0.0,0.1
7.0,8.0,185.0,1.0,0.0,0.1
7.0,29.0,155.0,1.0,0.0,0.1
8.0,9.0,416.0,1.0,0.0,0.1
9.0,10.0,83.0,1.0,0.0,0.1
9.0,11.0,106.0,1.0,0.0,0.1
9.0,12.0,46.0,1.0,0.0,0.1
9.0,13.0,80.0,1.0,0.0,0.1
9.0,55.0,42.0,1.0,0.0,0.1
10.0,51.0,77.0,1.0,0.0,0.1
10.0,12.0,6.0,1.0,0.0,0.1
11.0,43.0,34.0,1.0,0.0,0.1
11.0,13.0,49.0,1.0,0.0,0.1
11.0,41.0,23.0,1.0,0.0,0.1
12.0,16.0,22.0,1.0,0.0,0.1
12.0,13.0,5.0,1.0,0.0,0.1
12.0,17.0,13.0,1.0,0.0,0.1
13.0,14.0,39.0,1.0,0.0,0.1
13.0,15.0,32.0,1.0,0.0,0.1
13.0,49.0,75.0,1.0,0.0,0.1
14.0,46.0,97.0,1.0,0.0,0.1
14.0,15.0,82.0,1.0,0.0,0.1
15.0,45.0,62.0,1.0,0.0,0.1
18.0,19.0,12.0,1.0,0.0,0.1
19.0,20.0,4.0,1.0,0.0,0.1
20.0,21.0,2.0,1.0,0.0,0.1
21.0,22.0,2.0,1.0,0.0,0.1
22.0,38.0,8.0,1.0,0.0,0.1
22.0,23.0,7.0,1.0,0.0,0.1
23.0,24.0,9.0,1.0,0.0,0.1
24.0,25.0,33.0,1.0,0.0,0.1
24.0,26.0,41.0,1.0,0.0,0.1
25.0,30.0,19.0,1.0,0.0,0.1
26.0,27.0,41.0,1.0,0.0,0.1
27.0,28.0,63.0,1.0,0.0,0.1
28.0,29.0,75.0,1.0,0.0,0.1
29.0,52.0,41.0,1.0,0.0,0.1
30.0,31.0,11.0,1.0,0.0,0.1
31.0,32.0,4.0,1.0,0.0,0.1
32.0,33.0,9.0,1.0,0.0,0.1
32.0,34.0,16.0,1.0,0.0,0.1
34.0,35.0,16.0,1.0,0.0,0.1
35.0,36.0,29.0,1.0,0.0,0.1
36.0,40.0,6.0,1.0,0.0,0.1
36.0,37.0,35.0,1.0,0.0,0.1
37.0,38.0,42.0,1.0,0.0,0.1
37.0,39.0,7.0,1.0,0.0,0.1
38.0,48.0,35.0,1.0,0.0,0.1
38.0,49.0,15.0,1.0,0.0,0.1
38.0,44.0,34.0,1.0,0.0,0.1
39.0,57.0,7.0,1.0,0.0,0.1
40.0,56.0,6.0,1.0,0.0,0.1
41.0,56.0,15.0,1.0,0.0,0.1
41.0,43.0,29.0,1.0,0.0,0.1
41.0,42.0,23.0,1.0,0.0,0.1
42.0,56.0,6.0,1.0,0.0,0.1
44.0,45.0,61.0,1.0,0.0,0.1
46.0,47.0,97.0,1.0,0.0,0.1
47.0,48.0,29.0,1.0,0.0,0.1
48.0,49.0,7.0,1.0,0.0,0.1
49.0,50.0,13.0,1.0,0.0,0.1
50.0,51.0,35.0,1.0,0.0,0.1
52.0,53.0,29.0,1.0,0.0,0.1
53.0,54.0,17.0,1.0,0.0,0.1
54.0,55.0,26.0,1.0,0.0,0.1
56.0,57.0,9.0,1.0,0.0,0.1
49.0,44.0,0,1,1.0,0.1
24.0,15.0,0,1,1.0,0.1
30.0,24.0,0,1,1.0,0.1
45.0,18.0,0,1,1.0,0.1
28.0,34.0,0,1,1.0,0.1
17.0,44.0,0,1,1.0,0.1
36.0,15.0,0,1,1.0,0.1
52.0,57.0,0,1,1.0,0.1
47.0,52.0,0,1,1.0,0.1
18.0,42.0,0,1,1.0,0.1
52.0,39.0,0,1,1.0,0.1
27.0,6.0,0,1,1.0,0.1
25.0,35.0,0,1,1.0,0.1
53.0,56.0,0,1,1.0,0.1
28.0,50.0,0,1,1.0,0.1
15.0,46.0,0,1,1.0,0.1
32.0,1.0,0,1,1.0,0.1
42.0,23.0,0,1,1.0,0.1
48.0,39.0,0,1,1.0,0.1
1.0,29.0,0,1,1.0,0.1
50.0,14.0,0,1,1.0,0.1
19.0,50.0,0,1,1.0,0.1
11.0,33.0,0,1,1.0,0.1
