Brnch #,From bus,To bus,From bus injection P (MW),From bus injection Q (MVAr),To bus injection P (MW),To bus injection Q (MVAr),Loss (I^2*Z) P (MW),Loss (I^2*Z) Q (MVAr)
0,1,2,-3.29,-6.18,3.3,3.48,0.01,0.03
1,1,3,-21.23,-5.82,21.29,4.85,0.058,0.19
2,4,5,-96.26,55.37,96.46,-54.73,0.193,0.88
3,3,5,-54.96,-6.53,55.64,6.47,0.681,3.05
4,5,6,80.85,-7.65,-80.15,9.24,0.701,3.18
5,6,7,28.17,2.04,-28.14,-2.5,0.033,0.15
6,8,9,-394.58,-74.81,398.09,-9.57,3.509,43.86
7,8,5,301.19,8.43,-301.19,13.28,0,21.7
8,9,10,-398.09,9.57,401.87,-99.67,3.781,47.19
9,4,11,57.26,4.15,-56.65,-4.06,0.615,2.02
10,5,11,68.25,-2.09,-67.4,3.01,0.846,2.84
11,11,12,22.9,-28.22,-22.83,27.9,0.071,0.23
12,2,12,-23.3,-12.48,23.41,11.16,0.118,0.39
13,3,12,-5.33,-8.32,5.36,3.99,0.03,0.1
14,7,12,9.14,0.5,-9.13,-1.44,0.007,0.03
15,11,13,31.15,6.27,-30.94,-7.62,0.208,0.68
16,12,14,14.45,-3.61,-14.41,1.75,0.042,0.14
17,13,15,-3.06,-8.38,3.08,1.66,0.024,0.08
18,14,15,0.41,-2.75,-0.41,-2.77,0,0
19,12,16,7.4,1.76,-7.38,-4.07,0.012,0.05
20,15,17,-83.4,-3.34,84.24,1.17,0.835,2.77
21,16,17,-17.62,-5.93,17.75,1.29,0.133,0.53
22,17,18,62.09,5.29,-61.66,-4.99,0.426,1.75
23,18,19,14.89,1.46,-14.86,-2.61,0.023,0.1
24,19,20,-2.7,9.35,2.73,-12.45,0.029,0.14
25,15,19,3.81,0.37,-3.81,-1.47,0.002,0.01
26,20,21,-20.73,9.45,20.82,-11.33,0.092,0.43
27,21,22,-34.82,3.33,35.06,-4.83,0.242,1.13
28,22,23,-45.06,-0.17,45.71,-1.19,0.65,3.02
29,23,24,20.24,-2.8,-20.19,-2.48,0.05,0.18
30,23,25,-148.94,18.03,152.16,-11.12,3.22,16.51
31,26,25,83.95,27.97,-83.95,-25.35,0,2.61
32,25,27,125.6,-10.53,-121.14,13.94,4.465,22.89
33,27,28,30.89,0.19,-30.72,-1.77,0.169,0.75
34,28,29,13.72,-5.23,-13.68,2.86,0.045,0.18
35,30,17,198.39,45.93,-198.39,-31.99,0,13.94
36,8,30,65.39,-12.26,-65.21,-40.82,0.18,2.1
37,26,30,195.81,-55.54,-192.9,-9.27,2.91,31.32
38,17,31,18.11,6.97,-17.94,-10.79,0.174,0.57
39,29,31,-10.32,-6.86,10.34,6.01,0.015,0.05
40,23,32,76,-17.04,-74.3,10.41,1.697,6.17
41,31,32,-28.15,4.96,28.38,-6.92,0.23,0.76
42,27,32,9.74,-3.5,-9.72,1.49,0.021,0.07
43,15,33,7.8,-2.07,-7.78,-1.36,0.021,0.07
44,19,34,-2.05,-6.3,2.06,-0.67,0.008,0.03
45,35,36,-2.76,-2.37,2.76,2.07,0,0
46,35,37,-30.24,-6.63,30.33,5.58,0.094,0.42
47,33,37,-15.22,-7.64,15.32,3.92,0.1,0.34
48,34,36,23.15,-1.17,-23.1,0.67,0.042,0.13
49,34,37,-89.37,-21.7,89.57,21.31,0.194,0.71
50,38,37,191.05,80.04,-191.05,-66.39,0,13.65
51,37,39,33.04,6.48,-32.71,-8.37,0.33,1.09
52,37,40,22.8,1,-22.51,-4.85,0.28,0.79
53,30,38,59.72,4.16,-59.53,-46.17,0.186,2.17
54,39,40,5.71,-2.63,-5.7,0.96,0.006,0.02
55,40,41,19.45,8.64,-19.39,-9.75,0.062,0.21
56,40,42,-7.91,1,7.95,-5.93,0.038,0.13
57,41,42,-17.61,-0.25,17.73,-3.07,0.12,0.39
58,43,44,-8.01,2.65,8.06,-8.93,0.056,0.23
59,34,43,10.05,5.25,-9.99,-9.65,0.059,0.24
60,44,45,-24.06,11.56,24.22,-13.3,0.156,0.63
61,45,46,-31.63,-1.19,32.01,-1.05,0.381,1.29
62,46,47,-26.64,0.75,26.89,-3.33,0.253,0.84
63,46,48,-14.33,-3.07,14.45,-1.7,0.115,0.36
64,47,49,-17.64,-3.01,17.69,1.43,0.055,0.18
65,42,49,-40.34,4.04,41.47,-8.36,1.125,5.08
66,42,49,-40.34,4.04,41.47,-8.36,1.125,5.08
67,45,49,-45.59,2.99,46.96,-4.05,1.371,3.73
68,48,49,-34.45,7.15,34.65,-7.96,0.204,0.57
69,49,50,45.35,-1.97,-44.85,1.33,0.499,1.4
70,49,51,56.55,0.98,-55.13,-0.66,1.414,3.99
71,51,52,26.02,0.15,-25.88,-1.22,0.132,0.38
72,52,53,7.88,-3.78,-7.86,-0.31,0.025,0.1
73,53,54,-15.14,-10.69,15.22,7.81,0.079,0.37
74,49,54,31.18,-3.99,-30.54,-1.45,0.644,2.55
75,49,54,30.58,-5.26,-29.84,-0.17,0.739,2.47
76,54,55,1.55,-1.33,-1.55,-0.81,0,0
77,54,56,1.89,2.92,-1.89,-3.69,0,0
78,55,56,-5.72,3.56,5.72,-3.96,0.002,0.01
79,56,57,-15.42,3.41,15.5,-5.74,0.084,0.24
80,50,57,27.85,-5.33,-27.5,2.74,0.346,0.98
81,56,58,-0.05,6.25,0.07,-8.75,0.018,0.05
82,51,58,12.12,-7.49,-12.07,5.75,0.046,0.13
83,54,59,-21.73,-4.92,21.96,-0.52,0.225,1.02
84,56,59,-19.43,-2.72,19.73,-2.53,0.293,0.89
85,56,59,-20.36,-2.39,20.68,-2.46,0.313,0.93
86,55,59,-23.6,-4.74,23.85,-0.22,0.25,1.14
87,59,60,-36.11,7.55,36.51,-9.82,0.404,1.85
88,59,61,-44.46,8.16,45.08,-9.56,0.623,2.85
89,60,61,-107.08,2.44,107.36,-2.61,0.277,1.42
90,60,62,-7.43,4.39,7.44,-5.95,0.009,0.04
91,61,62,27.13,5.55,-27.07,-6.36,0.058,0.26
92,63,59,132.94,33.8,-132.94,-27.31,0,6.49
93,63,64,-132.94,-33.8,133.24,14.89,0.303,3.53
94,64,61,31.16,-37.99,-31.16,38.59,0,0.6
95,38,65,-131.52,-33.88,133.07,-57.01,1.548,16.94
96,64,65,-164.41,23.09,165.15,-54.23,0.743,8.34
97,49,66,-102.82,11.44,104.58,-5.25,1.754,8.96
98,49,66,-102.82,11.44,104.58,-5.25,1.754,8.96
99,62,66,-35.23,-1.85,35.78,-2.06,0.55,2.49
100,62,67,-22.14,1.05,22.25,-3.9,0.118,0.53
101,65,66,-14.15,76.83,14.15,-74.92,0,1.91
102,66,67,50.77,2.47,-50.25,-3.1,0.517,2.34
103,65,68,68.18,-32.59,-68.11,-32.43,0.062,0.72
104,47,69,-43.26,6.34,44.78,-9.17,1.527,5.02
105,49,69,-33.92,4.33,35.01,-9.92,1.099,3.62
106,68,69,-108.33,75.74,108.33,-70.25,0,5.49
107,69,70,95.28,-6.81,-92.86,3.63,2.424,10.26
108,24,70,-0.03,-3.82,0.03,-7.26,0,0.01
109,70,71,10.83,-3.71,-10.82,2.8,0.01,0.04
110,24,72,7.22,-1,-7.19,-4.21,0.024,0.1
111,71,72,4.82,-3.77,-4.81,-0.99,0.01,0.04
112,71,73,6,0.96,-6,-2.22,0.003,0.02
113,70,74,13.9,7.67,-13.79,-10.9,0.105,0.35
114,70,75,2.1,8.55,-2.06,-12.24,0.045,0.15
115,69,75,97.77,-3.04,-94.32,-0.04,3.451,10.4
116,74,75,-37.28,5.43,37.45,-5.96,0.168,0.55
117,76,77,-43.18,-11.9,44.03,10.84,0.852,2.84
118,69,77,72.48,-11.91,-71.02,5.14,1.455,4.76
119,75,77,-23.24,-6.91,23.56,2.63,0.32,1.06
120,77,78,49.58,23.88,-49.47,-24.92,0.105,0.35
121,78,79,-21.53,-1.08,21.55,0.48,0.023,0.1
122,77,80,-83.98,0.49,85.08,-2.61,1.095,3.12
123,77,80,-39.59,-2.34,40.02,1.31,0.421,1.5
124,79,80,-60.55,-10.7,61.09,11.06,0.538,2.43
125,68,81,-7.67,-21.36,7.67,-61.41,0.008,0.09
126,81,80,-7.67,61.41,7.67,-60.2,0,1.21
127,77,82,16.43,1.35,-16.35,-9.99,0.083,0.24
128,82,83,-22.72,-1.56,22.78,-2.36,0.054,0.18
129,83,84,-15.44,3.97,15.59,-6.44,0.154,0.33
130,83,85,-27.34,-0.79,27.64,-1.99,0.298,1.02
