Bus,Voltage Mag(pu),Voltage Ang(deg),Generation P (MW),Generation Q (Mvar),Load P (MW),Load Q (MVAr),Lambda($/MVA-hr) P,Lambda($/MVA-hr) Q
1,1.043,14.244,,,90,49,38.667,0.138
2,1.049,15.975,,,56,15,38.325,0.188
3,1.013,15.303,,,20,0,38.929,0.27
4,1.047,13.845,,,,,39.048,0.304
5,1.035,13.058,,,353,130,38.923,0.222
6,1.045,15.303,,,120,41,38.525,0.211
7,1.009,14.782,,,,,38.921,0.261
8,1.032,11.295,0,10,63,14,39.218,0.441
9,1.024,11.297,,,96,43,39.299,0.382
10,1.04,9.95,0,20,153,33,39.193,0.252
11,1.031,10.925,,,83,21,39.242,0.335
12,1.012,13.744,,,,,39.129,0.197
13,1.02,8.094,,,58,10,39.986,0.385
14,1.013,5.461,,,160,60,40.946,0.699
15,1.041,2.928,,,126.7,23,41.016,0.179
16,1.047,8.289,,,,,40.3,0.211
17,1.06,0.103,,,561,220,43.515,
19,1,10.052,,,,,39.908,0.388
20,1.02,6.301,11.13,20,605,120,40.222,0.349
21,0.991,10.257,,,77,1,39.901,0.357
22,1.014,6.603,,,81,23,40.427,0.38
23,1.06,11.818,,,21,7,37.94,-0.545
24,1.015,14.002,,,,,38.748,
25,1.035,9.431,,,45,12,39.455,-0.244
26,1.012,6.452,,,28,9,41.298,-0.12
27,0.992,3.604,,,69,13,42.48,0.263
33,1.042,-0.467,,,55,6,41.213,0.079
34,1.054,4.523,,,,,41.014,0.054
35,1.013,-4.207,,,,,42.139,0.273
36,1.036,-2.433,,,,,42.14,0.129
37,1.038,-0.305,,,85,32,41.354,0.131
38,1.038,-1.04,,,155,18,41.396,0.104
39,1.06,6.824,,,,,40.648,
40,1.04,-1.247,,,46,-21,41.559,0.054
41,1.047,0.582,,,86,0,40.914,0.055
42,1.058,5.134,,,,,40.877,0.032
43,1.024,-3.42,,,39,9,42.339,0.123
44,1.034,-2.573,,,195,29,41.576,
45,1.05,0.326,,,,,41.475,-0.058
46,1.057,2.733,,,,,41.412,-0.051
47,1.008,-6.467,,,58,11.8,43.373,0.202
48,1.021,-3.448,,,41,19,42.251,0.347
49,1.032,-0.484,,,92,26,41.456,0.237
51,1.032,-0.382,,,-5,5,41.414,0.236
52,1.011,-1.751,,,61,28,42.139,0.482
53,1.019,-4.154,,,69,3,42.713,0.106
54,1.028,-2.771,,,10,1,42.012,0.04
55,1.031,-0.426,,,22,10,41.303,0.091
57,1.043,4.377,,,98,20,39.302,
58,1.023,5.35,,,14,1,39.204,0.36
59,1.017,5.785,,,218,106,39.131,0.383
60,1.06,4.047,,,,,40.385,-0.299
61,1.032,7.393,,,227,110,38.806,0.174
62,1.055,10.135,,,,,39.035,0.216
63,1.035,-0.774,62.36,25,70,30,41.247,1.028
64,1.021,2.198,,,,,41.107,0.891
69,0.998,-5.13,,,,,43.065,0.641
70,0.988,-13.005,,,56,20,46.24,0.097
71,1.014,-8.085,,,116,38,43.723,
72,1.007,-5.816,,,57,19,42.657,0.33
73,1.012,-5.682,,,224,71,42.7,0.209
74,1.031,-3.135,,,,,42.475,0.135
76,1.005,-4.671,100,35,208,107,42.485,0.467
77,1.021,-3.408,,,74,28,41.761,0.199
78,1.027,-2.607,,,,,41.544,0.143
79,1.018,-3.916,,,48,14,42.067,0.237
80,1.022,-3.292,,,28,7,41.976,0.159
81,1.057,0.438,,,,,41.811,-0.165
84,1.06,4.355,403.62,131.7,37,13,41.526,
85,1.015,-4.423,,,,,43.778,0.075
86,1.018,-1.786,,,,,42.818,0.177
87,1.015,3.087,,,,,41.549,0.361
88,1.045,-1.508,,,,,41.92,-0.034
89,1.04,0.612,,,44.2,0,41.527,0.022
90,1.04,0.309,,,66,0,41.247,0.1
91,1.056,2.794,157.09,13.6,17.4,0,40.27,
92,1.06,5.956,285.51,14.82,15.8,0,39.69,
94,1.011,1.723,,,60.3,0,41.378,0.516
97,1.037,-0.825,,,39.9,0,41.69,0.085
98,1.035,-2.038,75.86,7.82,66.7,0,42.311,
99,1.015,-6.389,,,83.5,0,44.124,0.023
100,1.032,-1.928,,,,,42.259,0.081
102,1.027,-2.648,,,77.8,0,42.644,0.134
103,1.043,0.428,,,32,0,40.907,0.172
104,1.022,-4.274,,,8.6,0,43.466,-0.104
105,1.038,-0.304,,,49.6,0,41.271,0.225
107,1.029,-3.117,,,4.6,0,42.012,0.265
108,1.015,-6.332,141.02,7.97,112.1,0,44.106,
109,1.003,-10.71,,,30.7,0,45.587,-0.281
110,1,-10.051,,,63,0,45.669,-0.153
112,1.002,-12.215,,,19.6,0,46.107,-0.779
113,1,-9.008,,,26.2,0,44.747,0.049
114,1.004,-11.948,,,18.2,0,45.873,-0.807
115,0.979,-0.643,,,,,40.774,0.427
116,1.036,0.428,,,,,40.537,0.212
117,0.954,8.023,,,,,40.657,0.166
118,0.949,8.638,,,14.1,650,40.605,0.184
119,1.06,18.125,1985.2,1048.43,,,40.572,
120,0.976,4.522,,,777,215,40.554,0.089
121,1.006,0.491,,,535,55,40.73,0.296
122,0.992,-1.578,,,229.1,11.8,41.022,0.285
123,1.017,-4.635,,,78,1.4,42.246,-0.067
124,1.033,-0.385,249.55,96.76,276.4,59.3,40.796,
125,1.032,-5.601,93.15,199.97,514.8,82.7,41.863,0.013
126,1.018,-1.283,,,57.9,5.1,41.521,0.127
127,1.011,-0.568,,,380.8,37,41.344,0.224
128,1.014,4.366,,,,,40.544,0.414
129,1.016,4.835,,,,,40.485,0.415
130,1.034,14.097,,,,,39.007,0.343
131,1.001,14.635,,,,,38.973,0.339
132,1.021,11.816,,,,,39.334,0.446
133,1.012,3.556,,,,,40.704,0.424
134,1.023,1.394,,,,,40.903,-0.073
135,1.023,2.099,,,169.2,41.6,40.746,-0.281
136,1.055,9.11,,,55.2,18.2,39.394,-0.954
137,1.048,6.782,,,273.6,99.8,39.963,0.048
138,1.06,1.894,1.82,286.79,1019.2,135.2,40.036,
139,1.018,4.695,,,595,83.3,40.475,0.005
140,1.046,4.688,,,387.7,114.7,40.363,0.058
141,1.046,7.849,277.72,47.58,145,58,39.766,
142,1.018,4.935,,,56.5,24.5,40.329,0.472
143,1.045,11.848,659.08,89.97,89.5,35.5,38.939,
144,1.051,10.288,,,,,39.003,0.235
145,1.009,7.218,,,24,14,40.061,0.755
146,1.057,11.49,80.05,35,,,39.059,0.142
147,1.06,15.156,198.68,-41.71,,,38.311,
148,1.06,7.958,,,63,25,38.718,-0.619
149,1.06,12.84,96.58,22.81,,,38.754,
150,1.002,14.961,,,,,39.007,0.366
151,1.021,12.715,,,,,39.24,0.448
152,1.06,15.712,340.71,-50,17,9,38.318,-1.674
153,1.046,16.016,199.28,-50,,,38.451,-0.679
154,0.977,3.875,,,70,5,42.419,-1.565
155,1.039,12.099,,,200,50,39.356,-0.042
156,0.978,10.557,0,-2.81,75,50,39.351,
157,1.004,0.611,,,123.5,-24.3,40.988,0.245
158,1.017,0.994,,,,,40.918,0.122
159,1.006,2.756,,,33,16.5,40.702,0.229
160,1.014,0.246,,,,,40.906,0.061
161,1.045,14.322,,,35,15,38.825,-0.497
162,1.035,21.931,,,85,24,38.491,0.082
163,1.057,9.971,,,0,0.4,39.797,-0.117
164,1.012,14.83,,,,,39.222,0.07
165,1.047,28.265,,,,,37.851,0.053
166,1.044,31.438,,,,,37.778,0.033
167,0.985,2.327,,,299.9,95.7,40.925,0.704
168,1.014,4.344,,,,,40.545,0.414
169,1.001,2.625,,,,,40.86,0.539
170,0.945,8.811,199.55,90,481.8,205,39.468,0.535
171,0.994,-0.571,44.29,150,763.6,291.1,40.886,0.474
172,1.027,1.644,,,26.5,0,41.54,0.019
173,0.99,-5.473,,,163.5,43,43.788,0.483
174,1.06,5.064,,,,,39.963,-0.122
175,0.978,0.216,,,176,83,41.014,0.876
176,1.06,9.798,195.98,46.59,5,4,37.192,
177,1.015,6.56,79.74,35,28,12,38.986,0.776
178,0.944,0.525,,,427.4,173.6,41.972,1.707
179,0.974,-2.014,,,74,29,42.872,0.737
180,0.982,4.183,,,69.5,49.3,40.377,1.039
181,1.052,6.901,,,73.4,0,39.91,0.019
182,1.049,3.989,,,240.7,89,40.501,0.017
183,0.976,12.708,,,40,4,38.752,-0.601
184,1.023,2.771,,,136.8,16.6,40.71,-0.022
185,1.026,5.493,203.2,-10.43,,,40.32,
186,1.06,10.361,1176.4,145.04,59.8,24.3,39.607,
187,1.06,9.604,1180.6,164.44,59.8,24.3,39.677,
188,1.052,7.493,,,182.6,43.6,39.865,0.024
189,1.04,-4.763,,,7,2,42.003,0.371
190,1.049,2.238,507.44,-231.04,,,41.366,
191,1.06,26.941,1867.33,579.5,489,53,38.929,
192,0.971,6.225,,,800,72,40.584,0.785
193,1.035,-6.349,,,,,42.447,0.479
194,1.06,1.843,,,,,41.523,-0.43
195,1.052,0.46,,,,,41.698,-0.118
196,1.008,-2.818,,,10,3,42.589,0.449
197,1.025,-1.625,,,43,14,41.804,0.227
198,1.05,1.283,440.61,103.71,64,21,40.783,
199,0.992,-3.771,,,35,12,43.229,0.312
200,0.995,-3.635,,,27,12,43.022,-0.127
201,1.012,-7.746,,,41,14,43.246,0.808
202,1.023,-3.365,,,38,13,42.115,0.11
203,1.036,-0.473,,,42,14,41.407,0.085
204,1.005,-8.184,,,72,24,44.125,0.974
205,1.023,-7.42,,,0,-5,43.409,0.571
206,1.031,-9.315,,,12,2,45.264,-0.368
207,1.04,-10,,,-21,-14.2,45.746,-1.067
208,1.036,-6.012,,,7,2,42.524,0.425
209,1.043,-4.248,,,38,13,41.633,0.423
210,1.016,-2.11,,,,,42.09,0.176
211,1.032,-1.513,,,96,7,41.804,0.054
212,1.04,-0.766,,,,,41.584,-0.078
213,1.055,9.978,274.97,61.8,,,40.218,
214,1.031,4.549,,,22,16,40.735,0.066
215,1.02,1.975,,,47,26,41.074,0.148
216,1.001,-0.03,,,176,105,41.667,0.278
217,1.031,0.518,,,100,75,41.634,-0.038
218,1.016,0.154,,,131,96,41.666,-0.042
219,1.055,1.428,,,,,41.567,-0.134
220,1.027,1.348,108.22,8.51,285,100,41.643,
221,1.034,0.262,487.61,248.58,171,70,41.671,
222,1.014,0.097,269.7,97.21,328,188,41.576,
223,1.03,0.031,,,428,232,41.761,0.055
224,1.024,0.525,,,173,99,41.701,0.09
225,0.979,6.359,,,410,40,40.404,0.691
226,1.035,0.729,,,,,41.586,-0.071
227,1.014,-3.748,328.53,294.74,538,369,41.685,0
228,1.035,2.216,,,223,148,41.516,0.05
229,1.042,3.253,,,96,46,41.202,0.003
230,1.034,9.741,360.87,45.5,,,40.92,
231,1.051,1.545,,,159,107,41.542,-0.059
232,1.042,-0.344,,,448,143,41.619,-0.041
233,1.027,-2.348,325.82,183.51,404,212,41.721,
234,1.031,2.299,,,572,244,41.431,0.044
235,1.029,2.129,,,269,157,41.299,0.06
236,0.989,8.366,634.53,170.35,,,41.151,
237,1.053,1.65,,,,,41.515,-0.082
238,1.031,2.201,265.7,200,255,149,41.256,0.045
239,1.035,7.231,578.17,165.81,,,41.024,
240,1.018,2.726,,,,,41.366,0
241,1.027,6.696,612.47,-162.04,,,41.287,
242,1.034,4.576,176.2,76.32,,,40.73,
243,1.037,3.247,85.62,40,8,3,40.385,-0.281
244,1.022,2.299,,,,,40.862,-0.076
245,1.008,1.527,,,61,30,41.234,0.123
246,1,0.771,,,77,33,41.633,0.218
247,1.009,0.735,,,61,30,41.576,-0.074
248,1.018,-2.74,,,29,14,42.856,-1.615
249,1.017,-3.13,,,29,14,42.593,-2.861
250,1.06,-1.417,,,-23,-17,41.09,-5.657
281,1.019,2.8,,,-33.1,-29.4,41.358,-0.007
319,1.025,9.54,,,115.8,-24,39.355,-0.114
320,1.028,5.964,,,2.4,-12.6,41.38,-0.557
322,1.027,-4.549,,,2.4,-3.9,43.552,-0.272
