Bus #,Vol Mag(pu),Voltage Ang(deg),Generation P (MW),Generation Q (MVAr),Load P (MW),Load Q (MVAr),Lambda($/MVA-hr) P,Lambda($/MVA-hr) Q
1,0.982,0.000,41.54,-5.44,0,0,3.662,0
2,0.979,-0.763,55.4,1.67,21.7,12.7,3.689,0
3,0.977,-2.39,0,0,2.4,1.2,3.754,-0.016
4,0.976,-2.839,0,0,7.6,1.6,3.771,-0.021
5,0.971,-2.486,0,0,0,0,3.744,-0.001
6,0.972,-3.229,0,0,0,0,3.779,-0.02
7,0.962,-3.491,0,0,22.8,10.9,3.801,0.003
8,0.961,-3.682,0,0,30,30,5.383,1.405
9,0.99,-4.137,0,0,0,0,3.823,0.02
10,1,-4.6,0,0,5.8,2,3.846,0.039
11,0.99,-4.137,0,0,0,0,3.823,0.02
12,1.017,-4.498,0,0,11.2,7.5,3.81,0
13,1.064,-3.298,16.2,35.93,0,0,3.81,0
14,1.007,-5.04,0,0,6.2,1.6,3.868,0.018
15,1.009,-4.814,0,0,8.2,2.5,3.856,0.018
16,1.003,-4.839,0,0,3.5,1.8,3.849,0.031
17,0.995,-4.887,0,0,9,5.8,3.862,0.047
18,0.993,-5.484,0,0,3.2,0.9,3.911,0.047
19,0.987,-5.688,0,0,9.5,3.4,3.926,0.058
20,0.99,-5.472,0,0,2.2,0.7,3.91,0.055
21,1.009,-4.621,0,0,17.5,11.2,3.854,0.017
22,1.016,-4.503,22.74,34.2,0,0,3.843,0
23,1.026,-3.756,16.27,6.96,3.2,1.6,3.813,0
24,1.017,-3.885,0,0,8.7,6.7,3.884,0.028
25,1.044,-2.072,0,0,0,0,3.932,0.022
26,1.027,-2.476,0,0,3.5,2.3,3.999,0.067
27,1.069,-0.715,39.91,31.75,0,0,3.916,0
28,0.982,-3.215,0,0,0,0,4.106,0.25
29,1.05,-1.849,0,0,2.4,0.9,3.966,-0.059
30,1.039,-2.643,0,0,10.6,1.9,4.051,-0.012
