node1,node2,capacity,susceptance,cost_fixed,cost_linear
1,78,129,1,0,0.03106709778106444
1,138,431,1,0,0.07002693922012825
2,44,53,1,0,0.05087658034316174
2,57,73,1,0,0.10543924900355085
2,127,85,1,0,0.130843800895685
3,14,2501,1,0,0.05128206429281906
3,51,1569,1,0,0.06437526800587878
3,128,1056,1,0,0.0564891897574898
4,18,806,1,0,0.01269949391961901
5,151,88,1,0,0.09141445944753289
6,106,38,1,0,0.024397734199214198
7,68,1625,1,0,0.04776047227210174
8,120,912,1,0,0.038894226633359535
8,145,2194,1,0,0.02942736690764599
9,52,929,1,0,0.08009318145272117
9,77,409,1,0,0.056751764792132876
10,121,838,1,0,0.043054828948119336
10,132,1903,1,0,0.08274772224546989
11,38,1919,1,0,0.04368287075634839
11,83,168,1,0,0.060337036287230604
11,102,1790,1,0,0.07929415258372316
12,125,48,1,0,0.08644338266471728
12,164,28,1,0,0.022153649086555358
13,85,14,1,0,0.21769397045545638
13,118,412,1,0,0.20028506048213895
15,84,257,1,0,0.05919878529436124
15,98,38,1,0,0.06016932722311106
15,134,651,1,0,0.04354431506313916
15,166,366,1,0,0.048044167147530084
16,111,1363,1,0,0.2423688871708448
16,118,301,1,0,0.1346586675542137
16,152,30,1,0,0.23970185597792223
17,58,411,1,0,0.04671763821177253
18,53,3453,1,0,0.06211558535115819
18,137,410,1,0,0.0477339514170019
19,26,78,1,0,0.06559818827585642
19,93,54,1,0,0.01593124414442419
19,112,1260,1,0,0.06774340893346512
20,104,1739,1,0,0.045958462976997294
20,132,1779,1,0,0.06016279209479495
21,80,1597,1,0,0.058921308482429526
21,149,1603,1,0,0.03779301862162999
22,34,361,1,0,0.08686955148507895
22,116,107,1,0,0.08851127041091024
22,133,616,1,0,0.07636603518626431
23,64,14,1,0,0.11103670969075163
24,88,111,1,0,0.08518523583050679
24,100,101,1,0,0.09122864622203224
25,64,86,1,0,0.11035659424535521
25,146,18,1,0,0.14008692209389437
26,106,69,1,0,0.07869587164024656
27,114,59,1,0,0.0935421130298987
27,138,227,1,0,0.08395186225760252
27,140,294,1,0,0.04916011219064958
28,37,320,1,0,0.07927447335192576
29,63,183,1,0,0.05220534798664697
30,141,3,1,0,0.15892983054323714
31,71,2416,1,0,0.056971484941672756
31,122,1887,1,0,0.03943746334896914
32,128,1702,1,0,0.0583069685366453
32,149,1692,1,0,0.0699501657961325
33,70,590,1,0,0.04543936352991249
33,82,748,1,0,0.057097827628736504
33,148,1359,1,0,0.042559650312345224
34,167,229,1,0,0.06669925756665093
35,64,639,1,0,0.14477995873193247
35,111,1142,1,0,0.1463624944618189
36,50,14,1,0,0.13638082270252155
36,136,104,1,0,0.08741561077691186
36,150,22,1,0,0.16093484726972343
37,75,848,1,0,0.0783675879759515
37,104,1252,1,0,0.06092199586165492
38,60,31,1,0,0.10042833476061352
38,66,2157,1,0,0.05875547343514567
39,55,1,1,0,0.07169920725115628
40,73,3,1,0,0.11106277536635321
40,79,6,1,0,0.1021941400569158
40,146,16,1,0,0.09867323869937047
41,74,3,1,0,0.12063724502580772
41,153,306,1,0,0.09929361312079463
42,67,7,1,0,0.06362036158129392
43,59,132,1,0,0.041497086054661986
43,117,72,1,0,0.10189280163944413
43,164,57,1,0,0.0586017781121928
44,92,8,1,0,0.1732917954472158
45,89,1,1,0,0.20596789854275827
46,104,445,1,0,0.0639877805326176
46,109,389,1,0,0.07677104492334705
47,83,57,1,0,0.09947960375948879
47,89,13,1,0,0.09059193481244672
48,60,15,1,0,0.10322891620782004
48,123,10,1,0,0.14864680992785528
49,57,1654,1,0,0.080881405770439
49,102,1774,1,0,0.057741222372929855
51,72,1470,1,0,0.07505006342568062
52,101,165,1,0,0.08148424566516711
52,128,728,1,0,0.07609970651983516
53,67,3445,1,0,0.05955559500610906
54,124,10,1,0,0.04006295040484858
55,147,533,1,0,0.07121999430983438
56,77,356,1,0,0.0607852063209481
56,130,353,1,0,0.04938079541846684
58,122,662,1,0,0.060857387563298594
59,96,206,1,0,0.07289695043615234
59,99,339,1,0,0.05570378575054412
61,100,42,1,0,0.11071827408424705
62,69,7,1,0,0.6439380985012053
62,85,11,1,0,0.44995012993502054
63,70,188,1,0,0.01961865229943049
64,154,468,1,0,0.0945811560359934
65,107,20,1,0,0.11834478897091869
65,117,32,1,0,0.09047743201440848
66,145,2173,1,0,0.07845246777081456
66,163,9,1,0,0.06534308520354754
67,87,3192,1,0,0.08167682095913384
68,87,3174,1,0,0.07318252570473248
68,162,4354,1,0,0.0539951329839394
69,151,3,1,0,0.3474196363930387
70,124,392,1,0,0.034310638182439436
71,153,2988,1,0,0.0801323443207323
71,156,419,1,0,0.051809371357666854
72,169,1403,1,0,0.06507049993966853
75,133,738,1,0,0.05279972898948691
76,110,48,1,0,0.06651963875294392
76,148,169,1,0,0.05669753758699472
80,148,1576,1,0,0.0542405081461154
81,101,5,1,0,0.06482605586837466
82,134,672,1,0,0.06478755610115966
84,135,248,1,0,0.05713539398677881
86,109,330,1,0,0.07218857176277654
88,142,114,1,0,0.09463131021954438
90,167,28,1,0,0.1068099396560651
91,105,80,1,0,0.07053587920260686
94,122,460,1,0,0.07449223078213452
95,96,198,1,0,0.09344594664959081
95,142,120,1,0,0.07706345022373694
97,121,1373,1,0,0.08252034750622976
97,169,1392,1,0,0.08282345473821386
99,105,159,1,0,0.0673632907047851
99,108,549,1,0,0.08824180961239636
100,157,48,1,0,0.06893503378338876
103,116,20,1,0,0.07136068749562834
107,119,4,1,0,0.11654092086082178
108,144,598,1,0,0.08441073637569499
111,115,88,1,0,0.19122567174373767
112,162,1229,1,0,0.0682335763873005
113,116,5,1,0,0.07678589543952752
114,159,52,1,0,0.06886772213782981
120,126,3660,1,0,0.08857183020627467
120,147,4611,1,0,0.05510022973217784
125,143,33,1,0,0.06494078455518579
126,153,3344,1,0,0.053274278017226145
129,140,298,1,0,0.04952922121637876
129,155,16,1,0,0.034965565782186944
129,160,317,1,0,0.05085731551262452
130,160,324,1,0,0.06502170033602417
131,152,15,1,0,0.2299970599919756
136,168,186,1,0,0.1021818206129146
137,154,416,1,0,0.09344723891076642
138,144,643,1,0,0.06810580199172546
139,143,19,1,0,0.142172508211615
139,165,11,1,0,0.10816145707231539
141,159,10,1,0,0.05601323185575025
147,158,5417,1,0,0.05857902205373936
156,168,333,1,0,0.0721988637864966
158,162,5507,1,0,0.06433541931689411
159,161,3,1,0,0.11303869236460848
166,168,55,1,0,0.06706388822195031
5,151,88,1,0.1,0.09141445944753289
4,18,806,1,0.1,0.01269949391961901
18,53,3453,1,0.1,0.06211558535115819
18,67,350,1,0.1,0.09069878780921015
53,67,3445,1,0.1,0.05955559500610906
4,137,350,1,0.1,0.05274181358819922
18,137,410,1,0.1,0.0477339514170019
53,137,350,1,0.1,0.06909977951591985
137,154,416,1,0.1,0.09344723891076642
3,14,2501,1,0.1,0.05128206429281906
19,26,78,1,0.1,0.06559818827585642
3,29,350,1,0.1,0.08055265947777013
14,29,350,1,0.1,0.0843781688654274
21,29,350,1,0.1,0.06690274950302434
11,38,1919,1,0.1,0.04368287075634839
42,53,350,1,0.1,0.08461818138192312
42,67,7,1,0.1,0.06362036158129392
26,42,350,1,0.1,0.0783742459284151
14,54,350,1,0.1,0.08801199033706038
29,54,350,1,0.1,0.04739796223965891
39,55,1,1,0.1,0.07169920725115628
17,58,411,1,0.1,0.04671763821177253
21,63,350,1,0.1,0.07575638744708789
29,63,183,1,0.1,0.05220534798664697
33,63,350,1,0.1,0.0466701055907814
8,66,350,1,0.1,0.08655938214203808
38,66,2157,1,0.1,0.05875547343514567
7,68,1625,1,0.1,0.04776047227210174
29,70,350,1,0.1,0.055096418956666574
33,70,590,1,0.1,0.04543936352991249
54,70,350,1,0.1,0.05017928575773794
63,70,188,1,0.1,0.01961865229943049
31,71,2416,1,0.1,0.056971484941672756
21,80,1597,1,0.1,0.058921308482429526
76,80,350,1,0.1,0.06884567754596743
15,82,350,1,0.1,0.08009386671272871
33,82,748,1,0.1,0.057097827628736504
76,82,350,1,0.1,0.05683340832810057
15,84,257,1,0.1,0.05919878529436124
67,87,3192,1,0.1,0.08167682095913384
42,87,350,1,0.1,0.08627902234285688
68,87,3174,1,0.1,0.07318252570473248
19,93,54,1,0.1,0.01593124414442419
26,93,350,1,0.1,0.06760237894537752
42,93,350,1,0.1,0.08033667388929862
87,93,350,1,0.1,0.07574975993161763
31,94,350,1,0.1,0.08588893041604032
55,94,350,1,0.1,0.08873676273571485
58,94,350,1,0.1,0.0781796583583985
15,98,38,1,0.1,0.06016932722311106
33,98,350,1,0.1,0.0729202248700147
82,98,350,1,0.1,0.05593477828143747
84,98,350,1,0.1,0.06470470923339315
6,106,38,1,0.1,0.024397734199214198
26,106,69,1,0.1,0.07869587164024656
76,110,48,1,0.1,0.06651963875294392
