Name,Location X,Location Y,Num units,Capacity,Type
Orot Rabin,34.8849532,32.4672531,4,360,Coal
Orot Rabin,34.8849532,32.4672531,2,575,Coal
Orot Rabin,34.8849532,32.4672531,1,15,Gas
Rutenberg,34.5367023,31.6283355,2,40,Diesel fuel
Rutenberg,34.5367023,31.6283355,4,562.5,Coal
Eshkol,34.6529891,31.8387279,4,228,Gas
Eshkol,34.6529891,31.8387279,2,385.5,Gas
Eshkol,34.6529891,31.8387279,1,10,Diesel fuel
Riding,34.7748767,32.1017816,2,214,Gas
Haifa,35.0175095,32.7960832,2,141,Gas
Haifa,35.0175095,32.7960832,2,40,Diesel fuel
Haifa,35.0175095,32.7960832,2,374,Gas
Eilat,34.9553536,29.5812206,1,34,Diesel fuel
Eilat,34.9553536,29.5812206,2,29,Diesel fuel
Eitan,34.7488526,31.5729529,1,40,Diesel fuel
Alon Tavor,35.3465388,32.6418484,2,110,Diesel fuel
Alon Tavor,35.3465388,32.6418484,1,363,Gas
Gezer,34.9067265,31.8722788,4,148,Gas
Gezer,34.9067265,31.8722788,2,372,Gas
Har-Tov,35.0295654,31.7413158,1,40,Diesel fuel
Hagit,35.0321919,32.6115104,4,348.5,Gas
Kinnerot,35.4993966,32.7981528,2,40,Diesel fuel
Atarot,35.2211689,31.8510287,2,34,Diesel fuel
Tzafit,34.751907,31.71898,2,110,Diesel fuel
Tzafit,34.751907,31.71898,1,360,Gas
Caesarea,34.9394943,32.468058,3,43.3,Diesel fuel
Ramat Hovav,34.8324296,31.0986967,4,109,Gas
Ramat Hovav,34.8324296,31.0986967,2,350.5,Gas
Ra'anana,34.8838573,32.1996085,1,11,Diesel fuel
Mishor Rotem,35.1787376,31.0601959,1,444,Gas
Dorad,34.5234254,31.6297947,12,70,Gas
Dalia,34.751907,31.71898,2,435,Gas
