transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
ABU GHOSH,"Abu Ghosh, Israel",31.806293,35.109193,אבו גוש,472,אבו גוש,1,11,111,99,444,2,7140,NA,NA,7.1,NA,280,NA,2105263481,686,152,6129,Abu Ghosh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=472
ABU QUREINAT,"Abu Qureinat, Israel",31.145681,34.965476,אבו קורינאת (יישוב),1342,אבו קורינאת (יישוב),6,62,623,68,NA,2,1440,NA,NA,1.4,NA,450,NA,1962956100,450,624,3481,Abu Qureinat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1342
ABU SINAN,"Abu Snan, Israel",32.95803,35.171969,אבו סנאן,473,אבו סנאן,2,24,245,99,NA,2,13518,NA,NA,13.5,NA,270,NA,2160676282,71,252,1330,Abu Sinan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=473
ADI,"Adi, Israel",32.782353,35.173412,עדי,1199,עדי,2,24,241,9,242,1,1928,1.9,1.9,NA,1980,370,7,2165674307,167,254,1340,Adi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1199
AFIQIM,"Afikim, Israel",32.680564,35.57773,אפיקים,176,אפיקים,2,22,221,6,NA,1,1452,1.5,1.4,NA,1932,330,15,2544973191,-199,214,1240,Afiqim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=176
AFULA,"Afula, Israel",32.6104931,35.287922,עפולה,7700,עפולה,2,23,234,0,NA,1,47014,46.6,42.6,NA,1925,160,NA,2286772477,144,215,1420,Afula,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7700
AHI'EZER,"Ahi'ezer, Israel",31.981671,34.871821,אחיעזר,797,אחיעזר,4,43,432,40,133,1,1770,1.8,1.8,NA,1950,310,2,1879665440,40,425,5280,Ahi'ezer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=797
AHISAMAKH,"Ahisamakh, Israel",31.931906,34.908576,אחיסמך,804,אחיסמך,4,43,432,25,142,1,1376,1.4,1.4,NA,1950,310,1,1914164920,69,424,5280,Ahisamakh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=804
AHITUV,"Ahituv, Israel",32.387701,34.990826,אחיטוב,850,אחיטוב,4,41,412,16,141,1,1052,1.1,1,NA,1951,310,1,1993269934,42,409,5120,Ahituv,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=850
AHUZZAT BARAQ,"Ahuzat Barak, Israel",32.643101,35.338893,אחוזת ברק,1330,אחוזת ברק,2,23,234,9,NA,1,2135,2.1,2.1,NA,1998,190,19,2320172759,159,254,1420,Ahuzzat Baraq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1330
