transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
ABBIRIM,"Abirim, Israel",33.038086,35.286044,אבירים,1220,אבירים,2,24,244,52,NA,1,214,0.2,0.2,NA,1980,370,19,2271577148,561,255,1320,Abbirim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1220
ABU TULUL,"Abu Tulul, Israel",31.142612,34.913514,אבו תלול,1375,אבו תלול,6,62,623,68,NA,2,391,NA,NA,0.4,NA,450,NA,1934356585,388,624,3481,Abu Tulul,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1375
ADAMIT,"Adamit, Israel",33.078842,35.20951,אדמית,1068,אדמית,2,24,244,4,NA,1,181,0.2,0.2,NA,1958,330,15,2199777600,449,201,1350,Adamit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1068
ADANIM,"Adanim, Israel",32.138798,34.909148,עדנים,2035,עדנים,4,42,421,20,142,1,480,0.5,0.5,NA,1950,310,1,1912267188,24,417,5140,Adanim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2035
ADDERET,"Aderet, Israel",31.659715,34.99444,אדרת,1123,אדרת,1,11,112,26,444,1,914,0.9,0.9,NA,1961,310,1,1995861869,433,151,7004,Adderet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1123
ADDIRIM,"Adirim, Israel",32.54894100000001,35.271637,אדירים,113,אדירים,2,23,234,8,NA,1,271,0.3,0.3,NA,1956,310,1,2257971719,71,204,1420,Addirim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=113
ADORA,"Adora, Har Hebron",31.552219,35.017634,אדורה,3759,אדורה,7,77,NA,78,NA,1,421,0.4,0.4,NA,1984,370,9,2017560676,652,715,4352,Adora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3759
AFEQ,"Afek, Israel",32.838316,35.12778,אפק,313,אפק,2,24,246,4,241,1,597,0.6,0.6,NA,1939,330,15,2122874937,24,201,1160,Afeq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=313
AFIQ,Afik,32.779428,35.702994,אפיק,4301,אפיק,2,29,294,71,NA,1,292,0.3,0.3,NA,1967,330,15,2660674275,339,219,1270,Afiq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4301
AGUR,"Agur, Israel",31.697475,34.912024,עגור,794,עגור,1,11,112,26,NA,1,527,0.5,0.5,NA,1950,310,1,1917562283,218,151,7004,Agur,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=794
AHAWA,"Ahava St, Hod Hasharon, Israel",32.16155,34.900012,אחווה,1157,אחווה,6,61,611,33,143,1,332,0.3,0.3,NA,1976,350,NA,1782062796,61,616,3830,Ahawa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1157
AHIHUD,"Ahihud, Israel",32.907405,35.171715,אחיהוד,785,אחיהוד,2,24,246,4,241,1,850,0.9,0.8,NA,1950,310,1,2165375698,49,201,1330,Ahihud,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=785
AHUZZAM,"Ahuzam, Israel",31.552682,34.770151,אחוזם,821,אחוזם,6,61,612,50,NA,1,543,0.5,0.5,NA,1950,310,2,1782260687,169,634,3820,Ahuzzam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=821
AL-ARYAN,"Al-Arian, Israel",32.498076,35.125094,אל -עריאן,1316,אל -עריאן,3,32,323,14,NA,2,184,NA,NA,0.2,NA,450,NA,2120271154,367,351,1450,Al-Aryan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1316
AL-AZY,"Al-'Azi, Israel",31.71886799999999,34.814254,אל -עזי,1339,אל -עזי,6,61,611,35,NA,2,188,NA,NA,0.2,NA,450,NA,1809262552,93,632,3830,Al-Azy,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1339
ALLONE ABBA,"Alonei Abba, Israel",32.730945,35.172028,אלוני אבא,429,אלוני אבא,2,23,237,9,242,1,983,1,1,NA,1948,320,6,2163073721,152,254,1440,Allone Abba,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=429
ALLONE HABASHAN,Alonei Habashan,33.044087,35.838507,אלוני הבשן,4017,אלוני הבשן,2,29,292,71,NA,1,422,0.4,0.4,NA,1981,320,2,2786977222,958,219,1270,Allone HaBashan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4017
ALLONE YIZHAQ,"Alonei Yitzhak, Israel",32.509997,35.00519999999999,אלוני יצחק,868,אלוני יצחק,3,32,324,14,NA,1,276,0.3,0.2,NA,1949,340,NA,2006271295,71,351,1181,Allone Yizhaq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=868
ALLONIM,"Alonim, Israel",32.721459,35.143399,אלונים,285,אלונים,2,23,235,9,242,1,481,0.5,0.5,NA,1938,330,15,2139173611,105,254,1440,Allonim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=285
ALMA,"Alma, Israel",33.05186,35.499636,עלמה,688,עלמה,2,21,212,2,NA,1,686,0.7,0.7,NA,1949,310,2,2470477293,677,209,1230,Alma,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=688
ALMAGOR,"Almagor, Israel",32.912709,35.60231,אלמגור,1125,אלמגור,2,22,221,6,NA,1,374,0.4,0.4,NA,1961,310,1,2566875753,-18,214,1220,Almagor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1125
ALMOG,Almog,31.790034,35.461968,אלמוג,3556,אלמוג,7,75,NA,74,NA,1,239,0.2,0.2,NA,1977,330,15,2437563305,-278,713,4355,Almog,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3556
ALUMIM,"Alumim, Israel",31.453049,34.514711,עלומים,1146,עלומים,6,62,622,39,NA,1,484,0.5,0.5,NA,1966,330,3,1537659579,98,651,3482,Alumim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1146
ALUMMA,"Aluma, Israel",31.65204099999999,34.742872,אלומה,1145,אלומה,6,61,611,34,NA,1,493,0.5,0.5,NA,1965,350,NA,1757661777,84,631,3820,Alumma,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1145
ALUMMOT,"Alumot, Israel",32.706628,35.546088,אלומות,330,אלומות,2,22,221,6,NA,1,354,0.4,0.4,NA,1941,330,15,2515173475,30,214,1240,Alummot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=330
AMAZYA,"Amatzia, Israel",31.531176,34.914463,אמציה,23,אמציה,6,61,612,50,NA,1,567,0.6,0.6,NA,1955,320,9,1918460452,358,634,3820,Amazya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=23
AMIR,"Amir, Israel",33.17772610000001,35.6198305,עמיר,319,עמיר,2,21,211,1,NA,1,557,0.6,0.5,NA,1939,330,15,2582478703,76,253,1210,Amir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=319
AMIRIM,"Amirim, Israel",32.937351,35.45036500000001,אמירים,1064,אמירים,2,21,212,2,NA,1,795,0.8,0.8,NA,1950,310,1,2425676027,546,209,1230,Amirim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1064
AMMI'AD,"Ami'ad, Israel",32.930354,35.54052100000001,עמיעד,385,עמיעד,2,21,213,1,NA,1,423,0.4,0.4,NA,1946,330,15,2509275925,241,253,1220,Ammi'ad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=385
AMMI'OZ,"Ami'oz, Israel",31.248463,34.413404,עמיעוז,318,עמיעוז,6,62,622,38,NA,1,211,0.2,0.2,NA,1957,310,1,1440657325,127,651,3430,Ammi'oz,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=318
AMMIQAM,"Amikam, Israel",32.564626,35.020326,עמיקם,773,עמיקם,3,32,323,45,NA,1,727,0.7,0.7,NA,1950,310,9,2022171878,82,351,1181,Ammiqam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=773
AMNUN,"Amnun, Israel",32.904989,35.571136,אמנון,1253,אמנון,2,22,221,55,NA,1,300,0.3,0.3,NA,1983,310,6,2537975663,7,253,1220,Amnun,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1253
AMQA,"Amka, Israel",32.977664,35.161807,עמקה,708,עמקה,2,24,245,4,NA,1,706,0.7,0.7,NA,1949,310,1,2154876490,81,201,1350,Amqa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=708
AMUQQA,"Amuka, Israel",32.997669,35.524801,עמוקה,1212,עמוקה,2,21,212,2,NA,1,130,0.1,0.1,NA,1980,370,19,2493976704,706,209,1230,Amuqqa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1212
ANI'AM,Ani'am,32.956638,35.739718,אניעם,4012,אניעם,2,29,293,71,NA,1,513,0.5,0.5,NA,1978,310,1,2695476260,426,219,1270,Ani'am,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4012
ARAB AL NAIM,"Arab Al Naim, Israel",32.888073,35.290128,ערב אל נעים,1335,ערב אל נעים,2,24,241,56,241,2,750,NA,NA,0.8,NA,450,NA,2274475482,299,205,1360,Arab Al Naim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1335
ARBEL,Mount Arbel,32.8241667,35.4986111,ארבל,701,ארבל,2,22,222,3,NA,1,714,0.7,0.7,NA,1949,310,1,2456774647,47,206,1240,Arbel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=701
