nominal_flow_value,node1,node2
9.36772752,139,165
614.7537846,133,75
513.3076078,133,22
1585.956862,10,132
1482.191721,132,20
12.2971798,131,152
293.8059181,130,56
269.6368255,130,160
341.4601211,137,18
346.3944034,137,154
154.7705061,136,168
86.63295748,136,36
206.4723012,135,84
560.3908458,134,82
542.2540244,134,15
15.96751531,139,143
359.010458,1,138
535.6960739,138,144
189.4036173,138,27
45.25907456,19,93
92.67560108,24,88
84.35844598,100,24
14.80432864,146,25
71.27741172,25,64
275.0291897,109,86
48.82124112,114,27
245.1773066,140,27
1449.255016,104,20
1330.984972,21,80
1335.888137,149,21
88.76818294,116,22
301.103834,22,34
11.76226211,23,64
100.3763413,142,95
164.9709864,95,96
266.9772708,28,37
152.5211846,29,63
2.750158538,159,161
672,18,4
759.744577,120,8
1828.544577,145,8
171.6626437,59,96
3842.170747,120,147
3049.910286,120,126
697.9568619,10,121
1144.176012,121,97
1572.218588,122,31
552.0549839,122,58
383.3996611,122,94
8.634253126,123,48
8.644625491,124,54
326.4035144,124,70
40.33960994,12,125
27.3815623,125,143
2786.668549,126,153
70.45058604,127,2
1418.12173,128,32
880.0991828,128,3
606.6520421,128,52
12.93137584,129,155
264.2683856,129,160
248.5705518,129,140
343.382091,118,13
250.8739295,118,16
282.5466476,59,99
110.1238577,43,59
342.4,17,58
444.2202469,147,55
0.95277583,39,55
60.51543379,2,57
1378.536322,49,57
296.7664875,56,77
1307.820817,3,51
1225.129358,51,72
11.45109115,36,50
2877.460121,18,53
2871.195213,53,67
774.3954135,52,9
137.6235047,101,52
390.3747135,154,64
532.751725,35,64
73.42449131,111,115
43.29573401,114,159
60.03969494,117,43
26.35766168,117,65
10.57240365,47,89
1.129106038,45,89
952.0768137,111,35
1135.706203,111,16
39.84618171,110,76
4.45418996,113,116
1049.64966,112,19
1024.355907,112,162
623.062158,33,82
139.9632139,11,83
47.64323679,47,83
1313.590515,148,80
4.239333824,101,81
3.339901587,107,119
2644.650903,68,87
2659.745658,67,87
214.5449648,15,84
11.81790899,13,85
9.413002037,62,85
66.574285,105,91
2084,14,3
1354.4,68,7
65.09126511,19,26
57.74466704,106,26
457.4795498,108,99
498.4844729,108,144
324.3260779,109,46
1491.360983,102,11
1478.528886,102,49
16.40019111,103,116
34.66296265,100,61
39.65799737,100,157
32,106,6
17.03438715,107,65
370.4905117,104,46
1042.976881,104,37
132.1305964,105,99
26.03019129,38,60
1599.324197,11,38
1797.506015,38,66
1132.718693,148,33
491.798286,33,70
1409.760122,149,32
2012.99521,31,71
2.48195881,141,30
706.5551434,37,75
18.65543965,150,36
191.1715808,167,34
12.13270372,48,60
6.160524671,62,69
157.0064917,63,70
1159.807166,169,97
1810.665583,145,66
7.743711487,163,66
6.195265543,42,67
3628.021028,162,68
2.380538448,151,69
44.46484774,2,44
23.1718638,167,90
31.35269639,15,98
45.43254332,166,168
277.1526631,156,168
1169.407531,169,72
23.66039006,12,164
47.18286409,164,43
305.1563632,15,166
6.587933653,44,92
4588.975112,158,162
24.76772627,152,16
95.0908804,142,88
73.6,151,5
2490.322667,153,71
254.8593847,153,41
349.4480484,156,71
7.936341126,141,159
4514.326682,147,158
13.42924937,146,40
2.910189315,40,73
5.275088575,40,79
2.914634614,41,74
107.389542,1,78
340.8045865,77,9
140.8641279,148,76
