scenario,node1,node2
4,1,138
4,2,44
4,3,128
4,4,18
4,9,77
4,10,121
4,11,83
4,11,102
4,13,85
4,15,134
4,15,166
4,16,118
4,19,26
4,20,104
4,22,116
4,24,100
4,26,106
4,29,63
4,30,141
4,31,122
4,33,82
4,34,167
4,35,111
4,36,50
4,37,104
4,38,60
4,44,92
4,47,89
4,48,60
4,49,57
4,52,128
4,53,67
4,56,77
4,61,100
4,62,69
4,63,70
4,68,87
4,70,124
4,71,153
4,71,156
4,75,133
4,76,148
4,82,134
4,90,167
4,95,96
4,99,108
4,100,157
4,112,162
4,125,143
4,130,160
4,138,144
4,139,143
4,147,158
4,67,18
4,137,4
4,137,18
4,137,53
4,38,11
4,42,26
4,55,39
4,58,17
4,63,29
4,63,33
4,66,8
4,66,38
4,68,7
4,70,29
4,70,33
4,70,54
4,71,31
4,80,21
4,80,76
4,84,15
4,87,42
4,93,19
4,93,87
4,98,15
4,98,33
4,98,82
4,98,84
4,106,6
4,110,76
4,112,19
4,122,17
4,124,70
4,128,3
4,134,76
4,145,8
4,148,21
4,148,82
4,149,21
4,156,71
4,158,55
4,158,147
4,162,19
4,162,68
4,162,158
4,166,134
4,166,156
4,168,134
4,168,156
4,168,166
4,101,32
4,101,81
4,102,11
4,102,49
4,164,43
4,12,125
4,37,28
4,59,43
4,59,164
4,59,12
4,77,56
4,96,91
4,104,20
4,104,37
4,105,22
4,105,96
4,105,99
4,108,12
4,108,99
4,109,86
4,109,104
4,116,103
4,129,78
4,132,37
4,138,27
4,140,27
4,140,78
4,155,140
4,160,155
4,9,77
4,51,14
4,52,101
4,52,9
4,72,51
4,121,10
4,169,97
2,5,151
2,13,118
2,16,111
2,16,118
2,23,64
2,35,64
2,35,111
2,40,73
2,40,79
2,62,69
2,62,85
3,7,68
3,15,84
3,15,166
3,39,55
3,55,147
3,68,87
3,71,153
3,112,162
3,126,153
3,156,168
3,158,162
3,166,168
1,22,34
1,22,116
1,22,133
1,28,37
1,37,75
1,37,104
1,43,59
1,59,96
1,59,99
