name,value
g_15s3,0.0
w_15s3,8.2
theta_15s3,355.7834382479149
g_15s4,0.0
w_15s4,8.2
theta_15s4,350.3375008715703
g_15s5,0.0
w_15s5,8.2
theta_15s5,346.0134690638063
g_15s1,0.0
w_15s1,8.2
theta_15s1,4.953000000000007
g_15s2,0.0
w_15s2,8.2
theta_15s2,347.61763703187773
c_15,0.0
Z_15,0.0
g_28s3,0.0
theta_28s3,357.33972564019706
g_28s4,0.0
theta_28s4,354.11402637042164
g_28s5,0.0
theta_28s5,345.93956213490526
g_28s1,0.0
theta_28s1,4.643400419557338
g_28s2,0.0
theta_28s2,354.8153212200907
c_28,0.0
Z_28,0.0
g_16s3,0.0
w_16s3,3.5
theta_16s3,355.1749341549768
g_16s4,0.0
w_16s4,3.5
theta_16s4,348.4235341071545
g_16s5,0.0
w_16s5,3.5
theta_16s5,344.2628787782276
g_16s1,0.0
w_16s1,3.5
theta_16s1,3.880658857545187
g_16s2,0.0
w_16s2,3.5
theta_16s2,346.6714574843584
c_16,0.0
Z_16,0.0
g_7s3,0.0
w_7s3,22.80000000000004
theta_7s3,352.704
g_7s4,0.0
w_7s4,22.8
theta_7s4,352.82958155769916
g_7s5,0.0
w_7s5,22.80000000000004
theta_7s5,343.42125329060997
g_7s1,0.0
w_7s1,22.8
theta_7s1,2.919171774304255
g_7s2,0.0
w_7s2,22.80000000000004
theta_7s2,350.81799575465953
c_7,0.0
Z_7,0.0
g_27s3,21.78467676260729
theta_27s3,360.0
g_27s4,51.81784475352986
theta_27s4,360.0
g_27s5,39.1999999999947
theta_27s5,352.150209537559
g_27s1,55.0
theta_27s1,12.105278441541316
g_27s2,52.46627582327533
theta_27s2,360.0
c_27,0.0
Z_27,1.0
g_29s3,0.0
w_29s3,2.4
theta_29s3,355.8833583086425
g_29s4,0.0
w_29s4,2.4
theta_29s4,356.4187830547907
g_29s5,0.0
w_29s5,2.4
theta_29s5,346.7523859499586
g_29s1,0.0
w_29s1,2.4
theta_29s1,8.850514617921917
g_29s2,0.0
w_29s2,2.4
theta_29s2,356.25868685193234
c_29,0.0
Z_29,0.0
g_26s3,0.0
w_26s3,3.5000000000000284
theta_26s3,357.5501827644277
g_26s4,0.0
w_26s4,3.5000000000000284
theta_26s4,354.8873795151687
g_26s5,0.0
w_26s5,3.5000000000000284
theta_26s5,348.54771121775354
g_26s1,0.0
w_26s1,3.5000000000000284
theta_26s1,6.751850087016651
g_26s2,0.0
w_26s2,3.5000000000000284
theta_26s2,354.57914704294734
c_26,0.0
Z_26,0.0
g_5s3,0.0
theta_5s3,355.44
g_5s4,0.0
theta_5s4,354.48983101836126
g_5s5,0.0
theta_5s5,343.42125329060997
g_5s1,0.0
theta_5s1,4.2995352264388575
g_5s2,0.0
theta_5s2,350.81799575465953
c_5,0.0
